Variants,Redewendung,Bedeutung,Beispiele
"['dies und das', 'dies und jenes']",dies und das/dies und jenes,mancherlei,"['Wenn wir mehr Geld hätten, könnten wir uns auch mal dies und das leisten.']"
['dieser und jener'],dieser und jener,einige,"['Dieser und jener wird mal geschnappt, aber die meisten Hooligans kommen ungeschoren davon.']"
['dieses und jenes'],dieses und jenes,mancherlei,"['Sie wollte in die Stadt, um noch dieses und jenes für den Urlaub zu besorgen.']"
"['dieser', 'jener']",dieser oder jener,"mancher, manch einer",['Dieser oder jener hätte sicher noch Verwendung für die ausrangierten Möbel.']
['gut Ding will Weile haben'],gut Ding will Weile haben,"es braucht eine gewisse Zeit, bis etwas Solides, Ordentliches, Vernünftiges fertiggestellt, erreicht wird",['Die Restaurierungsarbeiten werden einige Jahre in Anspruch nehmen; gut Ding will Weile haben. Politische Reformen soll man nicht übers Knie brechen – gut Ding will Weile haben.']
['jedes Ding hat zwei Seiten'],jedes Ding hat zwei Seiten,"jede Sache hat ihre gute und ihre schlechte Seite, hat Vorund Nachteile",['Das reine Paradies wird dein Job als Korrespondent in Hongkong nicht werden; jedes Ding hat zwei Seiten.']
['das ist ein Ding!'],das ist ein Ding!,Ausdruck einer positiven oder negativen Überraschung,"['Kurz ins Stanford Shopping Center geschaut. Das ist ein Ding! Ich war ja schon in vielen Shopping Centers, aber das ist schon eins der schönsten überhaupt', 'Das ist ein Ding! Die Stadt will sich bis 2002 lediglich zu schlappen 9.']"
['das ist ein Ding mit ’nem Pfiff'],das ist ein Ding mit ’nem Pfiff,"das ist etwas ganz Besonderes, das funktioniert auf überraschende, merkwürdige Weise","['Der Staat frisst uns auf. Ein Gespenst. Ein Begriff. Der Staat, das ist ein Ding mit’m Pfiff.']"
['ein Ding der Unmöglichkeit sein'],ein Ding der Unmöglichkeit sein,"nicht möglich sein, sich nicht erledigen, ausführen, einrichten lassen",['Wir sind mehr als ausgelastet. Die Übernahme eines neuen Auftrags ist zu diesem Zeitpunkt ein Ding der Unmöglichkeit.']
['jemandes Ding sein'],jemandes Ding sein,"das sein, was jemanden interessiert, begeistert; das sein, wofür sich jemand engagiert","['für gute Stimmung sorgen, das ist mein Ding', 'Nein, Eishockey ist überhaupt nicht mein Ding']"
['ein Ding drehen'],ein Ding drehen,etwas anstellen; ein Verbrechen begehen,"['Die Dinger, die man gedreht hat, sind wahre Juwelen, und man darf erst von ihnen reden, wenn man schon im Knast sitzt', 'Hab mir gleich gedacht, dass du das Ding gedreht hast']"
['jemandem ein Ding verpassen'],jemandem ein Ding verpassen,jemandem einen brutalen Schlag versetzen,"['Diesem Pitt werd ich ’n Ding verpassen, dass er wochenlang wie ’ne schwangere Jungfrau rumläuft.']"
['jemandem ein Ding verpassen'],jemandem ein Ding verpassen,jemanden gehörig zurechtweisen,"['Diesem arbeitsscheuen Burschen musste erst mal ein Ding verpasst werden, damit er spurt.']"
['mach keine Dinger!'],mach keine Dinger!,"Ausruf des Erstaunens, der Überraschung",['Die wollen die Mehrwertsteuer senken? Mach keine Dinger!']
['krumme Dinger machen'],krumme Dinger machen,"etwas Unerlaubtes, Rechtswidriges tun","['Er hat in seiner Jugend ein paar krumme Dinger gemacht.', 'Versucht freundlich zu sein, versucht keine krummen Dinger zu machen.']"
['guter Dinge sein'],guter Dinge sein,"gut aufgelegt, froher Stimmung sein","['Alles hatte prächtig geklappt und man war guter Dinge.', 'Warum sollte er nicht guter Dinge sein? Das Leben war von unerschöpflicher Buntheit.']"
['unverrichteter Dinge'],unverrichteter Dinge,"ohne etwas verwirklicht, erreicht zu haben","['Unverrichteter Dinge musste er wieder nach Hause gehen.', 'Er kehrte unverrichteter Dinge nach St. Jules zurück und wurde angebrüllt.']"
"['der Dinge harren, die da kommen sollen']","der Dinge harren, die da kommen sollen","abwarten, was geschehen wird","['Ich bin noch nicht davon überzeugt, dass damit die Streitigkeiten aus der Welt geschafft sind. Aber harren wir der Dinge, die da kommen sollen. inmitten davon stand Jans Repschläger und harrte der Dinge, die da kommen sollten.']"
['aller guten Dinge sind drei'],aller guten Dinge sind drei,"Ausspruch zur Rechtfertigung von etwas, was jemand ein drittes Mal tut, probiert","['Wir können es ja noch einmal versuchen, aller guten Dinge sind drei.']"
['in dem Ding sein'],in dem Ding sein,in eine Angelegenheit verwickelt sein,"['Sag mit, was du gesehen hast Sonst muss ich annehmen, dass du mit in dem Ding bist, und ich kann keine Rücksicht mehr auf dich nehmen.']"
['nicht mit rechten Dingen zugehen'],nicht mit rechten Dingen zugehen,"merkwürdig, unerklärlich sein; nicht legal vor sich gehen","['Bei den Grundstücksverkäufen soll es nicht mit rechten Dingen zugegangen sein. Es wäre doch nicht mit rechten Dingen zugegangen, wenn jemand mit seinen fachlichen Qualitäten und Erfahrungen den Job nicht bekommen hätte.']"
['über den Dingen stehen'],über den Dingen stehen,"sich nicht allzu sehr von etwas beeindrucken, berühren, beeinträchtigen lassen","['Er tat so, als wenn er über den Dingen stünde, in Wirklichkeit aber litt er unter dem Zerwürfnis.', 'Curd Jürgens hatte es nie nötig, mit seinem Alter zu kokettieren Der Mann stand über den Dingen.']"
['vor allen Dingen'],vor allen Dingen,"vor allem, besonders","['Die Menschen in diesen Trabantenstädten fühlen sich sehr einsam, vor allen Dingen die alten Leute. nach den Bildern hatte ich ihn mir größer und mächtiger vorgestellt, vor allen Dingen mit einer donnernden Stimme.']"
['jemanden dingfest machen'],jemanden dingfest machen,"jemanden verhaften, festnehmen","['Knauft flog überstürzt nach Hamburg, wo er dingfest gemacht werden konnte', 'Für den Fall des Falles hat Haas vorsorglich die Verantwortlichen dingfest gemacht']"
['etwas zur Diskussion stellen'],etwas zur Diskussion stellen,etwas als Thema für eine Diskussion vorschlagen,"['Der Kollege hat mit dieser Frage ein brisantes Thema angeschnitten, das ich hier zur Diskussion stellen möchte.']"
['zur Diskussion stehen'],zur Diskussion stehen,"Thema, Gegenstand der Diskussion sein","['In dem Kolloquium steht nicht der rein biologische, sondern der soziologische Aspekt des Parasitismus zur Diskussion.']"
['keine Disziplin in den Knochen haben'],keine Disziplin in den Knochen haben,undiszipliniert sein,"['Die jungen Spieler haben keine Disziplin in den Knochen. Wenn ihr keine Disziplin in den Knochen habt, muss ich andere Saiten aufziehen.']"
['jemandem auf den Docht gehen'],jemandem auf den Docht gehen,jemandem lästig werden,"['Die Alten gehen mir auf den Docht mit ihrem dauernden Gemecker.', 'Die Ironie hat keinen guten Ruf, und sie kann einem ja auch auf den Docht gehen.']"
['eine Doktorarbeit aus etwas machen'],eine Doktorarbeit aus etwas machen,"etwas äußerst umständlich, mit viel zu großem Aufwand angehen","['Wenn er mal einen Nagel in die Wand schlagen soll, macht er gleich eine Doktorarbeit daraus.']"
['Donner und Blitz!'],Donner und Blitz!,"Ausruf des Erstaunens, der Verwünschung",['Donner und Blitz! Nun hat uns der Bursche doch wieder hereingelegt.']
['Donner und Doria'],Donner und Doria,"Ausruf des Erstaunens, der Verwünschung","['Donner und Doria, hast du denn keinen Funken Ehrgefühl?']"
"['wie vom Donner gerührt', 'wie vom Donner getroffen']",wie vom Donner gerührt/getroffen,"vor Schreck, Entsetzen völlig erstarrt","['Wir vermitteln keine Callboys, bekräftigte die Ministerin sarkastisch. Und von Links habe sie nichts gewusst. Ich war wie vom Donner gerührt', 'Ich stehe wie vom Donner gerührt, ich kann im ersten Augenblick kein Wort über die Lippen bringen']"
"['da soll doch ein Donnerwetter dreinschlagen!', 'da soll doch ein Donnerwetter dreinfahren!']",da soll doch ein Donnerwetter dreinschlagen/dreinfahren!,Ausruf der Verärgerung,['Da soll doch gleich ein heiliges Donnerwetter dreinschlagen! Jetzt parkt doch schon wieder jemand vor der Ausfahrt.']
['zum Donnerwetter!'],zum Donnerwetter!,Ausruf der Verärgerung,"['Zum Donnerwetter, wo sind denn bloß meine Manschettenknöpfe?', 'Zum Donnerwetter, spielen Sie doch nicht den unschuldigen Hasen.']"
['zum Donnerwetter auch!'],zum Donnerwetter auch!,"Ausruf der Bewunderung, der Überraschung","['Zum Donnerwetter auch, ist das ein Prachtexemplar! Himmel, potz.']"
['doppelt und dreifach'],doppelt und dreifach,über das Notwendige hinausgehend,['Die Anlage ist doppelt und dreifach gesichert.']
['doppelt gemoppelt'],doppelt gemoppelt,unnötigerweise zweimal ausgedrückt,['Die Wohnung neu renovieren? Das ist ja wohl doppelt gemoppelt. Das neu kannst du dir sparen.']
['doppelt sehen'],doppelt sehen,betrunken sein,"['Was ist denn mit dir los, du siehst wohl schon alles doppelt?']"
['doppelt hält besser'],doppelt hält besser,eine zweifach getroffene Vorsorge ist sicherer,"['Die Kiste war nur geleimt, ich habe noch ein paar Schrauben hineingedreht – doppelt genäht hält besser.', 'Und da doppelt genäht meistens doch besser hält, kontrollieren sich die Kollegen immer gegenseitig nach dem Vier-AugenPrinzip', 'Wenn dies nicht möglich ist, sollten Medikamente zweimal auf ihre Richtigkeit überprüft werden. Es gilt die Devise Doppelt gemoppelt hält besser']"
['auf die Dörfer gehen'],auf die Dörfer gehen,"Farben, besonders solche mit niedrigem Wert, statt Trumpf ausspielen","['Aha, nun geht er schon auf die Dörfer.']"
"['auf die Dörfer gehen', 'über die Dörfer gehen']",auf/über die Dörfer gehen,bei etwas sehr umständlich vorgehen,"['Berichten Sie uns kurz, was damals geschehen ist, ohne über die Dörfer zu gehen, bitte! Auf direktem Weg erreicht man bei dieser Behörde gar nichts, da muss man schon ein bisschen auf die Dörfer gehen.']"
['aus jedem Dorf einen Hund haben'],aus jedem Dorf einen Hund haben,Karten jeder Farbe haben (und damit nicht über die notwendige Zahl einer Farbe verfügen),"['Ich passe, ich habe schon wieder aus jedem Dorf einen Hund. böhmisch, Kirche, potemkinsch, Sau, Welt.']"
['jemandem ein Dorn im Auge sein'],jemandem ein Dorn im Auge sein,"jemandem ein Ärgernis, unerträglich sein","['Der Nazismus erklärte unserem Haus den Krieg Die Familie Mann war ihm ein Dorn im Auge', 'Der Welt sind solche Leute wie wir ein Dorn im Auge']"
['ein dorniger Pfad'],ein dorniger Pfad,ein schwieriger Weg zu einem Ziel,['Es war ein dorniger Pfad bis zum Weltmeistertitel.']
['bis dorthinaus'],bis dorthinaus,"überaus, in hohem Maße","['Lass dich durch seinen Charme nicht einwickeln, er ist egoistisch bis dorthinaus! Wir sind geschmacklos bis dorthinaus, resümiert Verleger Flynt.']"
"['jemandem fliegt der Draht aus der Mütze', 'jemandem springt der Draht aus der Mütze']",jemandem fliegt/springt der Draht aus der Mütze,jemand regt sich sehr auf,"['Mir fliegt allerdings echt der Draht aus der Mütze, wenn ich dieses bescheuerte Gelaber lese', 'So schnell fliegt uns, dem Publikum, im Jahr 2012 ja nicht mehr der Draht aus der Mütze. Praktisch alles sind wir gewohnt, wir wundern uns ja schon über gar nichts mehr, und trotzdem klingt an dieser Musik irgendetwas falsch, unsachgemäß, verhaltensauffällig']"
['einen Draht zu jemandem haben'],einen Draht zu jemandem haben,eine Beziehung zu jemandem haben,"['Sie hat einen guten Draht zu ihren Kollegen und weiß, wie man komplizierte Themen rüberbringt.']"
['auf Draht sein'],auf Draht sein,"wachsam sein, aufpassen und im entscheidenden Augenblick richtig handeln","['Jetzt war Stefan nicht auf Draht; er hätte ja sagen müssen', 'Wenn du nicht auch noch Prügel beziehen willst, dann musst du schwer auf Draht sein']"
['jemanden auf Draht bringen'],jemanden auf Draht bringen,"jemanden dazu bringen, rasch und richtig zu handeln",['In wenigen Monaten hatte die neue Direktorin ihre Leute auf Draht gebracht. heiß.']
['dran sein'],dran sein,an der Reihe sein,"[Sie müssen noch etwas warten. Zwei Personen sind noch vor Ihnen dran.', 'Da Konrad Adenauer in sechs Wochen keine Koalition zustande gebracht hat, dürfte nun wohl Ludwig Erhard dran sein.']"
['dran sein'],dran sein,zur Verantwortung gezogen werden,"['Wenn Sie erwischt werden, dann sind Sie dran, und nicht ich!']"
['dran sein'],dran sein,sterben müssen,"['Der Vater hatte mithilfe der Mafia seine Söhne in höchste Ämter gebracht und als diese die erwarteten Gegendienste nicht erbrachten, waren sie dran.']"
['am dransten sein'],am dransten sein,an der Reihe sein,"['Vordrängeln gibt es nicht, jetzt bin ich erst mal am dransten! Wer ist am dransten? Muss ich jetzt ausspielen?']"
"['an etwas dran', 'da ist was dran']",an etwas/da ist was dran,"etwas/das ist nicht ganz falsch, könnte durchaus zutreffen","['ist er jederzeit bereit, zuzugeben, dass an dieser Theorie etwas dran sein muss', 'so würden ihn die deutschen Kritiker als einen Trivialautor etikettieren. Da ist was dran']"
"['nicht wissen, wie man bei jemandem dran ist', 'nicht wissen, wie man mit jemandem dran ist']","nicht wissen, wie man bei jemandem/mit jemandem dran ist","nicht wissen, was man von jemandem, von jemandes Verhältnis zu einem selbst zu halten hat","['Ich arbeite seit mehr als fünf Jahren mit ihm zusammen, weiß aber bis heute nicht, wie ich bei ihm dran bin.']"
"['gut dran sein']","gut dran sein","es gut haben","['Er ist gut dran, er hat seit Jahren keine Reparatur an seinem Wagen.', 'Dennoch sind Frauen besser dran als Männer. Ihr Haarausfall ist einer Behandlung zugänglich.']"
"['arm dran sein', 'schlecht dran sein', 'übel dran sein']","arm/schlecht/übel dran sein","es schlecht haben","['Mit seiner zweiten Frau ist er übel dran.', 'Arm dran sind diejenigen, die den Sommer in den Bibliotheken und vor dem Computer verbringen müssen, weil sie an wichtigen Arbeiten sitzen.']"
['da ist alles dran!'],da ist alles dran!,"das hat alle nur denkbaren Vorzüge, (iron.) Nachteile","['Das ist ein Auto, da ist alles dran. Ich hatte eine Erkältung, da war alles dran. drauf, drum, glauben.']"
"['drauf und dran sein, etwas zu tun']","drauf und dran sein, etwas zu tun","fast so weit sein, etwas zu tun","['Sie war drauf und dran, alles hinzuwerfen.', 'Besonders die Weißstörchin schien oft drauf und dran, über den Gatten herzufallen, wenn er durchaus nicht klappern wollte.']"
"['gut drauf sein']","gut drauf sein","sich gut fühlen, in guter Verfassung sein",
"['schlecht drauf sein']","schlecht drauf sein","sich schlecht fühlen, in schlechter Verfassung sein","['Das Examen habe ich verbockt, ich war an dem Tag einfach nicht gut drauf.', 'Wenn du schlecht drauf bist, brauchst du erst gar nicht anzutreten.']"
"['einen draufbekommen', 'einen draufkriegen', 'eins draufbekommen', 'eins draufkriegen']",einen/eins draufbekommen/draufkriegen,zurechtgewiesen werden,"['Es wird langsam Zeit, dass das Bürschchen mal einen draufbekommt.']"
"['einen draufbekommen', 'einen draufkriegen', 'eins draufbekommen', 'eins draufkriegen']",einen/eins draufbekommen/draufkriegen,"einen Schlag, Klaps bekommen","['Du kriegst gleich eins drauf, du kleiner Frechdachs!', 'Wenn man zur Schwester freche Wörter sagt, dann kriegt man eine drauf.']"
"['jemandem einen draufgeben', 'jemandem eins draufgeben']",jemandem einen/eins draufgeben,jemanden zurechtweisen,['Die Chefin hat ihm vor versammelter Mannschaft eins draufgegeben.']
"['jemandem einen draufgeben', 'jemandem eins draufgeben']",jemandem einen/eins draufgeben,"jemandem einen Schlag, Klaps geben","['geriet man stets in Gefahr, die Hand zu heben und ihr eins draufzugeben.']"
"['einen draufmachen', 'einen draufhauen']",einen draufmachen/draufhauen,ausgiebig feiern,"['Als das Projekt genehmigt war, haben wir erst mal ordentlich einen draufgehauen.', 'Wenn du jung bist, Mann, bist du immer dabei, einen draufzumachen.']"
['sein Drauskommen haben'],sein Drauskommen haben,sein Auskommen haben,"['Das Geschäft ist zwar klein, aber er hat sein Drauskommen damit.']"
"['ein Dreck sein', 'der letzte Dreck sein']",ein Dreck/der letzte Dreck sein,zum Abschaum der Menschheit gehören,"['Die Radfahrer, die früher Freiwild waren, werden jetzt mehr geachtet– dafür sind die Fußgänger nun der letzte Dreck', 'Lehrlinge klagen Wir sind für die anderen der letzte Dreck']"
['einen Dreck'],einen Dreck,"gar nichts, in keiner Weise","['Ich kümmre mich einen Dreck darum. Sie haben uns hier einen Dreck zu sagen.', 'Einen Dreck verstehen sie vom Militär, aber immer quatschen sie dazwischen.']"
['Dreck am Stecken haben'],Dreck am Stecken haben,"nicht integer sein, sich etwas haben zuschulden kommen lassen","['Bei Lupo war es die ehemalige Freundin, die Dreck am Stecken hatte und von der Polizei gesucht wurde', 'Ein kleines, hoch motiviertes Team von Bochumer Staatsanwälten will den Dreck am Stecken der Großen beweisen']"
