Variants,Redewendung,Bedeutung,Beispiele
"['ob in China ein Fahrrad umfällt', 'ob in China ein Sack Reis umfällt', 'ob in Peking ein Fahrrad umfällt', 'ob in Peking ein Sack Reis umfällt', 'wenn in China ein Fahrrad umfällt', 'wenn in China ein Sack Reis umfällt', 'wenn in Peking ein Fahrrad umfällt', 'wenn in Peking ein Sack Reis umfällt']",ob/wenn in China ein Fahrrad/Sack Reis umfällt; ob/wenn in Peking ein Fahrrad/Sack Reis umfällt,ob/wenn etwas völlig Unwesentliches geschieht,"['Wenn mein Mann schon wieder eine neue Freundin hat, dann interessiert mich das heute nicht mehr, als ob in China ein Sack Reis umfällt!', 'Ob in Paris die Metro oder in Toronto der Bus pünktlicher fährt, ist dem IOC am Ende so wichtig, wie wenn in Peking ein Fahrrad umfällt. Kaiser.']"
"['einen Clown gefrühstückt haben', 'einen Kasper gefrühstückt haben']",einen Clown/Kasper gefrühstückt haben,albern sein; besonders witzig sein wollen,"['Was ist mit dir denn los? Hast du einen Clown gefrühstückt?', 'Aber der Mann, der da in der Münchner Galerie herumwieselt, scheint heute Morgen einen Clown gefrühstückt zu haben', 'Wir lachten. Du hast wohl einen Kasper gefrühstückt, meinte Laura, und wir mussten noch mehr lachen']"
"['und Co', 'und Co.']",und Co/Co.,"und die hier sonst noch zu Nennenden, das sonst noch zu Nennende","['Der Traum der Menschheit, wie Captain Kirk, Spock und Co. im Raumschiff durchs Weltall zu reisen, soll in Zukunft für jedermann wahr werden – vorausgesetzt, man bringt das nötige Kleingeld mit!', 'wie der ökologische Landbau gefördert werden kann oder auf welchem Weg Bauern, die sich auch der Vielfalt von Hase, Igel und Konsorten widmen, unterstützt werden können', 'ein Spätwerk der Dogma-Bewegung, mit der Lars von Trier und Konsorten Mitte der neunziger Jahre gegen die zunehmende Wirklichkeitsvergessenheit des Kinos antraten']"
"['da haben wir’s!', 'da hast du’s!']",da haben wir’s!/da hast du’s!,"nun ist das eingetreten, was zu befürchten war!",['Da haben wir’s! Nun hat er mit der Konkurrenz abgeschlossen. Da hast du’s! Versetzung fraglich! Alles nur wegen deiner Faulheit.']
"['dabei sein ist alles', 'Dabeisein ist alles']",dabei sein/Dabeisein ist alles,"wer den Sieg, die Vorherrschaft nicht erringen kann, muss sich mit der Teilnahme zufriedengeben","['So oder so bleibt das Laufen eine Domäne dunkelhäutiger Athleten. Für Weiße gilt Dabeisein ist alles', 'Dabei sein ist alles war der am meisten gehörte Kommentar in der übervollen Aula, als feststand, dass die Schule keinen Deutschen Schulpreis bekommt']"
"['dabei sein ist alles', 'Dabeisein ist alles']",dabei sein/Dabeisein ist alles,"es ist wichtig, schön an einer Veranstaltung teilzunehmen","['Dabei sein ist alles. Für den 15. September 2012 ist der zweite bundesweite Tag des Handwerks ausgerufen. Organisationen und Betriebe sind aufgerufen, mitzumachen.']"
"['eins aufs Dach bekommen', 'eins aufs Dach kriegen']",eins aufs Dach bekommen/kriegen,"zurechtgewiesen, getadelt werden","['Waren sie unschuldig, würde man sie nach ein paar Stunden wieder laufen lassen; der falsche Angeber aber würde eins aufs Dach bekommen.']"
"['jemandem eins aufs Dach geben', 'jemandem was aufs Dach geben']",jemandem eins/was aufs Dach geben,"jemanden zurechtweisen, tadeln","['Und dem gottverfluchten Eisenbahnfritzen, dem gib bitte eins aufs Dach.']"
"['unter einem Dach leben', 'unter einem Dach wohnen', 'unter einem Dach hausen']",unter einem Dach leben/wohnen/hausen,im gleichen Haus wohnen,"['Sie wollte nicht mehr länger mit ihren Schwiegereltern unter einem Dach wohnen.', 'Nicht nur meiner körperlichen und moralischen Leistung wegen errang ich ihren vollen Respekt, sondern auch, weil ich mit Brünhilde unter einem Dach lebte.']"
"['aus der Dachrinne trinken können', 'aus der Dachrinne saufen können']",aus der Dachrinne trinken/saufen können,sehr groß gewachsen sein,"['Wir brauchen mal einen, der ein Kopfballduell gewinnt, sagt Gerland, andere Mannschaften wie Siegen oder Elversberg haben Leute, die aus der Dachrinne trinken können', 'Dieses Mädchen war eine lange Latte. Jungens riefen ihr nach, sie könnte wohl aus der Dachrinne saufen']"
"['etwas dafürkönnen', 'nichts dafürkönnen']",etwas/nichts dafürkönnen,Schuld/keine Schuld daran haben,"['Er behauptete steif und fest, nichts dafürzukönnen. Was kann ich denn dafür, wenn du zu spät kommst? Du hast doch selbst einen Wecker.']"
"['schmelzen wie die Butter an der Sonne', 'schmelzen wie Schnee an der Sonne']",schmelzen wie die Butter/wie Schnee an der Sonne,äußerst schnell aufgebraucht werden,"['Die Vorräte waren geschmolzen wie Butter an der Sonne.', 'Doch wenn es an der Börse kracht und das Aktienkapital dahinschmilzt wie Butter in der Sonne, wünscht sich so mancher Investor, er hätte seine Kursgewinne rechtzeitig abgesichert.']"
"['dahingestellt sein', 'dahingestellt bleiben']",dahingestellt sein/bleiben,"nicht bewiesen, noch fraglich sein/bleiben","['Es bleibt dahingestellt, ob sie das Geld wirklich stehlen wollte.', 'Es sei dahingestellt, wer in den vielen Auseinandersetzungen mit Manövrieren und Finassieren angefangen hat.']"
"['sein Damaskus erleben', 'seinen Tag von Damaskus erleben']",sein Damaskus/seinen Tag von Damaskus erleben,"(durch ein Ereignis) bekehrt werden, sich von Grund auf wandeln, seine Einstellung grundlegend ändern","['Als die Panzer in die Prager Innenstadt rollten, erlebten viele westliche Kommunisten ihren Tag von Damaskus.', 'Der 34-jährige Weltkrieg-I-Leutnant erlebte sein Damaskus 1917 in der Ukraine. Der Offizier des Kaisers schloss sich den Ideen Lenins an.']"
"['jemandem auf den Damm helfen', 'jemanden wieder auf den Damm bringen']",jemandem auf den Damm helfen/jemanden wieder auf den Damm bringen,jemanden gesund machen,['Mit einer Rosskur brachte man die Hauptdarstellerin rechtzeitig wieder auf den Damm und die Premiere war gerettet.']
"['das Schwert des Damokles hängt über jemandem', 'das Schwert des Damokles hängt über jemandes Haupt', 'das Schwert des Damokles schwebt über jemandem', 'das Schwert des Damokles schwebt über jemandes Haupt']",das Schwert des Damokles hängt/schwebt über jemandem/über jemandes Haupt,jemand ist von einer bestimmten Gefahr ständig bedroht,['Die aufschlussreichen Unterlagen waren der Presse zugespielt worden und über dem Minister schwebte das Schwert des Damokles.']
"['wie ein Damoklesschwert über jemandem hängen', 'wie ein Damoklesschwert über jemandem schweben', 'wie ein Damoklesschwert über jemandes Haupt hängen', 'wie ein Damoklesschwert über jemandes Haupt schweben']","wie ein Damoklesschwert über jemandem, über jemandes Haupt hängen/schweben",eine ständige Bedrohung für jemanden sein,['Die Gesetzesänderung hängt wie ein Damoklesschwert über meiner Tätigkeit.']
"['Dampf aufmachen', 'Dampf aufsetzen']",Dampf aufmachen/aufsetzen,"sich beeilen, sich mehr anstrengen","['Der Bundesrat ist bereit, in dieser Frage Dampf aufzusetzen', 'Schöns Truppe brannte förmlich vor Ehrgeiz, machte Dampf auf der Gegner sollte erst gar keine Zeit haben, um Luft zu holen']"
"['hinter etwas Dampf machen', 'hinter etwas Dampf setzen']",hinter etwas Dampf machen/setzen,eine Arbeit beschleunigen; sich stärker einsetzen,"['Er will nicht etwa Krach machen, er will etwas Dampf hinter die Sache machen', 'Na, noch keine Stellung, Pinneberg? Nu aber Dampf dahinter gemacht, die Kinder schreien nach Brot']"
"['unter Dampf stehen', 'unter Dampf sein']",unter Dampf stehen/sein,fahrbereit sein,['Die beiden Schiffe an der Mole standen bereits unter Dampf.']
"['unter Dampf stehen', 'unter Dampf sein']",unter Dampf stehen/sein,"bereit sein, aktiv zu werden; voller Tatendrang sein","['Haben Sie den Mut, auch einmal nein zu sagen Und Stehen Sie nicht ständig unter Dampf!', 'weil Sepp Wäsche, ein fast ständig unter Dampf stehender Schauspieler, für Nuancen nicht zu haben ist']"
"['auf dem falschen Dampfer sein', 'auf dem falschen Dampfer sitzen', 'auf dem falschen Dampfer sich befinden']",auf dem falschen Dampfer sein/sitzen/sich befinden,"sich falsche Vorstellungen machen, bestimmte Möglichkeiten falsch einschätzen","['Wenn er glaubt, dass wir auf ihn angewiesen sind, ist er aber auf dem falschen Dampfer. Mensch Maiwald, sagte er, so einen Luxus wie Moral, das können wir uns nicht leisten, da bist du von gestern, da bist du auf dem falschen Dampfer', 'Wie unsere Moderedakteurin hierzu mitteilt, befindet sich der Autor dieses Reports auf dem falschen Dampfer']"
"['etwas darstellen', 'nichts darstellen']",etwas/nichts darstellen,Eindruck/keinen Eindruck machen,"['Du musst das Geschenk hübsch verpacken, damit es auch etwas darstellt.', 'Die Geschosse sind niedriger und die Fenster kleiner, aber auch diese Häuser wollen etwas darstellen. Licht.']"
"['dastehen wie der Ochs am Berg', 'dastehen wie der Ochs vorm Berg', 'dastehen wie die Kuh vorm neuen Tor', 'dastehen wie die Kuh vorm Scheunentor', 'dastehen wie die Kuh, wenns donnert', 'dastehen wie der Esel vorm Berg', 'stehen wie der Ochs am Berg', 'stehen wie der Ochs vorm Berg', 'stehen wie die Kuh vorm neuen Tor', 'stehen wie die Kuh vorm Scheunentor', 'stehen wie die Kuh, wenns donnert', 'stehen wie der Esel vorm Berg']","dastehen/stehen wie der Ochs am Berg/wie der Ochs vorm Berg/wie die Kuh vorm neuen Tor/wie die Kuh vorm Scheunentor/wie die Kuh, wenns donnert/wie der Esel vorm Berg","angesichts einer neuen Situation völlig ratlos sein, sich nicht zu helfen wissen","['Nun stehst du da wie der Ochs vorm Berg, du Großmaul. anwurzeln, einwurzeln, Holz, Hose, versteinern.']"
"['jemandem den Daumen aufs Auge drücken', 'jemandem den Daumen aufs Auge halten', 'jemandem den Daumen aufs Auge setzen']",jemandem den Daumen aufs Auge drücken/halten/setzen,"jemandem hart zusetzen, jemanden zu etwas zwingen","['Du kannst sagen, was du willst, ich lasse mir doch nicht von dir den Daumen aufs Auge drücken.']"
"['den Daumen halten', 'den Daumen drücken', 'die Daumen halten', 'die Daumen drücken']",den Daumen/die Daumen halten/drücken,jemandem in einer schwierigen Sache Erfolg wünschen,"['Drück mir mal den Daumen, dass alles klappt!', 'Schütz war begeistert und drückte der Mexikanerin die Daumen, dass auch ihre neue Platte Wo und wann ein Hit wird', 'Im Großen und Ganzen dürfte der gesamte Fußball-Kreis dem FC Türkspor die Daumen halten']"
"['auf etwas den Daumen halten', 'auf etwas den Daumen haben']",auf etwas den Daumen halten/haben,über etwas alleine verfügen und es nicht ohne Weiteres herausgeben,"['Bei uns hat meine Großmutter den Daumen auf dem Geld, die rückt freiwillig keinen Cent heraus. Und ich hatte schon gedacht, sie würde sich von Scheuermann beschwatzen lassen und den Daumen auf den Geldbeutel halten.']"
"['Daumen drehen', 'Däumchen drehen']",Daumen/Däumchen drehen,nichts tun und sich langweilen,"['Wir sitzen hier nun schon geschlagene zwei Stunden herum und drehen Däumchen.', 'Als ob sie vorher die Daumen gedreht und nichts getan hätten.']"
"['jemandem Daumenschrauben anlegen', 'jemandem Daumenschrauben ansetzen']",jemandem Daumenschrauben anlegen/ansetzen,"jemanden unter Druck setzen, ihn in grober, rücksichtsloser Weise zu etwas zwingen","['Hättest du ihn nicht noch ein bisschen ausquetschen können? Sollte ich ihm vielleicht Daumenschrauben anlegen?', 'Der Club in Washington setzt also Moskau die Daumenschrauben an']"
"['etwas zur Debatte stellen', 'etwas zur Diskussion stellen']",etwas zur Debatte/Diskussion stellen,etwas als Thema für eine Debatte vorschlagen,['Sie haben den Vorschlag der Referentin gehört – ich möchte diese Anregung jetzt zur Debatte stellen.']
"['jemandem einen auf den Deckel geben', 'jemandem eins auf den Deckel geben', 'jemandem was auf den Deckel geben']",jemandem einen/eins/was auf den Deckel geben,jemanden zurechtweisen,"['Ich hatte Zeit zu lernen, und ich hatte Leute an meiner Seite, die mir auch mal einen auf den Deckel gegeben haben, wenn ich abgehoben bin.']"
"['einen auf den Deckel bekommen', 'einen auf den Deckel kriegen', 'eins auf den Deckel bekommen', 'eins auf den Deckel kriegen', 'was auf den Deckel bekommen', 'was auf den Deckel kriegen']",einen/eins/was auf den Deckel bekommen/kriegen,zurechtgewiesen werden,"['Auch die Spieler sprechen nicht vom Abstieg. Wenn ich dieses Wort in den Mund nehme, kriege ich vom Manager wieder einen auf den Deckel, sagte Andreas Müller', 'Mach, dass das Aas die Schnauze hält!, brüllte Prall, der wahrscheinlich auch was auf den Deckel gekriegt hat']"
"['ich denk, ich hör nicht recht!', 'ich denk, ich seh nicht recht!']","ich denk, ich hör/seh nicht recht!","was ich höre/sehe, ist kaum zu glauben","['Und plötzlich– ich denk, ich seh nicht recht!– steht meine Ex vor der Tür! Zweitausend soll es kosten – ich denk, ich hör nicht recht!']"
"['jemandem einen Denkzettel verpassen', 'jemandem einen Denkzettel geben']",jemandem einen Denkzettel verpassen/geben,jemanden durch eine unangenehme Erfahrung exemplarisch bestrafen oder warnen,"['Diesem Angeber werden wir mal einen kleinen Denkzettel geben. Es gibt Rechte oder Linke, die mit der Nichtwahl ihrer jeweiligen Partei einen Denkzettel verpassen wollen.']"
"['derjenige, welcher', 'diejenige, welche']","derjenige, welcher/diejenige, welche","der, auf den es ankommt, von dem die Rede ist/die, auf die es ankommt, von der die Rede ist","['Sollte ein zusätzlicher Betriebswirt in den Vorstand berufen werden, dann ist er derjenige, welcher. Sie hatte einen etwas herben Charme, aber für ihn war sie diejenige, welche.']"
"['keinen Deut', 'nicht einen Deut']",keinen/nicht einen Deut,gar nicht,"['Der neue Amtsleiter ist nicht einen Deut besser als sein Vorgänger.', 'Jostens Miene wurde um keinen Deut freundlicher', 'Ebenso meine ich, etwas zu beschönigen, das bringt uns ja keinen Deut voran']"
"['mit jemandem deutsch reden', 'mit jemandem deutsch sprechen']",mit jemandem deutsch reden/sprechen,"jemandem unverblümt die Wahrheit, die Meinung sagen","['Wenn du hier nicht spurst, muss ich mal deutsch mit dir reden.', 'Ich hab deutsch mit dem Chef gesprochen, darauf hat er mich angefahren', 'Sei so gut, und halt du deinen Schnabel, sonst schwätz ich deutsch mit dir']"
"['kein Deutsch verstehen', 'nicht Deutsch verstehen']",kein Deutsch /nicht Deutsch verstehen,etwas nicht verstehen wollen; nicht gehorchen,"['Ich habe dir doch gesagt, du sollst die Werkstatt aufräumen. Du verstehst wohl kein Deutsch mehr, was?']"
"['seinen Dienst tun', 'seine Dienste tun']",seinen Dienst/seine Dienste tun,für den vorgesehenen Zweck zu gebrauchen sein,"['Besonders schön ist der Sessel nicht mehr, aber er wird noch einige Zeit seinen Dienst tun. Wenn man kein Bett hat, tut auch eine Matratze ihren Dienst.']"
"['gute Dienste tun', 'gute Dienste leisten']",gute Dienste tun/leisten,sehr nützlich sein,['Bei diesem Wetter tut ein Anorak gute Dienste. Ungehinderter Zugang zum Archiv könnte uns gute Dienste leisten.']
"['in jemandes Diensten stehen', 'bei jemandem in Diensten stehen']",in jemandes Diensten/bei jemandem in Diensten stehen,"bei jemandem angestellt, beschäftigt sein; für jemanden arbeiten, tätig sein","['Der Experte für Gegenaufklärung hatte nach amerikanischen Darstellungen fünfzehn Jahre in Moskaus Diensten gestanden und dem Staat erheblichen Schaden zugefügt', 'Graf Orlog, ein Vampir aus den Karpaten, lässt einen Makler, der offensichtlich in seinen Diensten steht, in Wisborg ein Haus erwerben, bevor er per Schiff mit einer Ladung von Särgen selbst dort eintrifft']"
"['jemandem zu Diensten stehen', 'jemandem zu Diensten sein']",jemandem zu Diensten stehen/sein,"jemandem zur Verfügung stehen, jemandes Wünsche erfüllen","['Wenn Sie eine Beratung wünschen, steht Ihnen unser geschultes Personal zu Diensten.', 'Berlin blieb eisenhart, Berlin wollte nur eins – seinem Investor weiter zu Diensten sein. Verdankung.']"
"['dies und das', 'dies und jenes']",dies und das/dies und jenes,mancherlei,"['Wenn wir mehr Geld hätten, könnten wir uns auch mal dies und das leisten.']"
"['wie vom Donner gerührt', 'wie vom Donner getroffen']",wie vom Donner gerührt/getroffen,"vor Schreck, Entsetzen völlig erstarrt","['Wir vermitteln keine Callboys, bekräftigte die Ministerin sarkastisch. Und von Links habe sie nichts gewusst. Ich war wie vom Donner gerührt', 'Ich stehe wie vom Donner gerührt, ich kann im ersten Augenblick kein Wort über die Lippen bringen']"
"['da soll doch ein Donnerwetter dreinschlagen!', 'da soll doch ein Donnerwetter dreinfahren!']",da soll doch ein Donnerwetter dreinschlagen/dreinfahren!,Ausruf der Verärgerung,['Da soll doch gleich ein heiliges Donnerwetter dreinschlagen! Jetzt parkt doch schon wieder jemand vor der Ausfahrt.']
"['auf die Dörfer gehen', 'über die Dörfer gehen']",auf/über die Dörfer gehen,bei etwas sehr umständlich vorgehen,"['Berichten Sie uns kurz, was damals geschehen ist, ohne über die Dörfer zu gehen, bitte! Auf direktem Weg erreicht man bei dieser Behörde gar nichts, da muss man schon ein bisschen auf die Dörfer gehen.']"
