Redewendung,Bedeutung,Beispiel
dabei sein/ Dabeisein ist alles,"2. es ist wichtig, schön usw. an einer Veranstaltung teilzunehmen","['Dabei sein ist alles. Für den 15. September 2012 ist der zweite bundesweite Tag des Hand- werks ausgerufen. Organisationen und Betriebe sind aufgerufen, mitzumachen (www.hwk-hannover.de, 22. 3. 2012).']"
ein Dach über dem Kopf haben,eine Unterkunft haben,"['Tausende von Menschen im Erdbebengebiet hatten kein Dach über dem Kopf. da das Bank- institut den vorläufigen Verbleib zwi- schen den nackten Wänden der Villa ge- währte, so hatte er ein Dach über dem Kopf (Th. Mann, Krull 69).']"
jmdm. aufs Dach steigen,"jmdn. zu- rechtweisen, in die Schranken weisen","['Wenn der so weitermacht, wird ihm der Chef bald aufs Dach steigen.', 'Da werden dir deine eigenen Kollegen ganz schön aufs Dach steigen, wenn sie sich in der Zeitung wiederfinden (v. d. Grün, Glatteis 224).']"
eins aufs Dach bekommen/kriegen,"zurechtgewiesen, getadelt werden","['Waren sie unschuldig, würde man sie nach ein paar Stunden wieder laufen lassen; der falsche Angeber aber würde eins aufs Dach bekommen (Fallada, Jeder 249).']"
jmdm. eins/was aufs Dach geben,"jmdn. zurechtweisen, tadeln","['Und dem gottverfluchten Eisenbahnfritzen , dem gib bitte eins aufs Dach (Zweig, Gri- scha 103). Vgl. die vorangehende Wendung.']"
unter einem Dach,"im Rahmen einer ein- zigen Firma, Organisation usw.","['Ziel der Neugründung ist es, Finanzdienstleistun- gen und Versicherungen künftig unter ei- nem Dach anzubieten.']"
unter einem Dach leben/ wohnen/hausen,im gleichen Haus wohnen,"['Sie wollte nicht mehr länger mit ihren Schwiegereltern unter einem Dach wohnen.', 'Nicht nur meiner körperlichen und moralischen Leistung wegen errang ich ihren vollen Respekt, sondern auch, weil ich mit Brün- hilde unter einem Dach lebte (Küpper, Simplicius 99).']"
etw. unter Dach und Fach bringen,etw. glücklich zum Abschluss bringen,"['Die Leute rannten nach dem Raunen aus dem Bundesfinanzministerium schnell zu den Bausparkassen, um neue Verträge noch unter Dach und Fach zu bringen (DM 5, 1966, 8). Die Finanzierung ist schnell un- ter Dach und Fach gebracht, inklusive Bauherrenhaftpflicht und Wohngebäude- versicherung .']"
unter Dach und Fach sein,glücklich abge- schlossen sein,"['Beredt versucht die Dasa- Führung noch den Eindruck zu zer- streuen, als sei der Deal schon unter Dach und Fach (Zeit 3. 5. 1996, 18). Vgl. die Wendung unter Dach und Fach bringen.']"
bei jmdm. ist es unterm Dach nicht ganz richtig,jmd. ist nicht ganz bei Ver- stand,['Du hebst deine gesamten Erspar- nisse in bar in einem Schuhkarton auf? Bei dir ist es doch unterm Dach nicht ganz richtig!']
unterm Dach juchhe,in ei- ner Wohnung direkt unterm Dach,"['Sieben Treppen hoch haben wir damals ge- wohnt, unterm Dach juchhe.']"
unter jedem Dach  ein Ach,(als Trost gedachte Bemerkung) jeder hat Sorgen; man ist mit seinen Sorgen nicht allein,"['Aber unter jedem Dach ein Ach. In jeder Familie ist irgend etwas (www.erf.de). Feuer, Hahn, Pleitegeier, Schindel, Spatz.']"
aus der Dachrinne trinken/sau- fen können,sehr groß gewachsen sein,"['Wir brauchen mal einen, der ein Kopfballduell gewinnt, sagt Gerland, andere Mannschaften wie Siegen oder Elversberg haben Leute, die aus der Dachrinne trinken können (SZ 21. 2. 2002, 44). Dieses Mädchen war eine lange Latte. Jungens riefen ihr nach, sie könnte wohl aus der Dachrinne saufen (Jantzen/ Niehuss, Klassenbuch 21).']"
einen Dachschaden haben,nicht bei Verstand sein,"['Seine El- tern gehörten zu denen, die sich den neuen Vokabeln, mit denen alles psycho- logisch erklärt werden sollte, verschlos- sen Man hatte einen Dachschaden oder einen Knacks, so nannte man das (Las- sahn, Schiff 438).']"
aus Daffke,"aus Trotz, nur so","['Sie freundete sich mit einem jungen Mann aus der Gesellschaft an, mehr aus Daffke denn aus Liebe (Wo- chenpost 6. 6. 1964, 24). Er lernt sogar das Fliegen, nur aus Daffke, glaube ich – um seiner Elly die Luftherrschaft zu entrei- ßen (Quick 23, 1958, 29).']"
etw./nichts dafürkönnen,Schuld/keine Schuld daran haben,"['Er behauptete steif und fest, nichts dafür- zukönnen. Was kann ich denn dafür, wenn du zu spät kommst? Du hast doch selbst einen Wecker.']"
du kannst wohl nichts dafür!,du bist wohl verrückt!,['Du hast meinen Lieb- lingspullover einfach in die Altkleider- sammlung gegeben? Du kannst wohl nichts dafür!']
es steht  dafür,es lohnt sich,"['Ich muss erst einmal sehen, ob es sich überhaupt dafürsteht. Dann hör lieber auf. Es steht nicht da- für (Torberg, Mannschaft 339).']"
daheim ist daheim!,es geht nichts über das Zuhause,"['Natürlich habe ich mich bei ihnen wohlgefühlt. Aber daheim ist da- heim! Ich bin froh, dass ich wieder hier bin. Mond, Sack.']"
schmelzen wie die Butter/wie Schnee an der Sonne,äußerst schnell aufgebraucht werden,"['Die Vorräte waren geschmolzen wie Butter an der Sonne.', 'Doch wenn es an der Börse kracht und das Aktienkapital dahin- schmilzt wie Butter in der Sonne, wünscht sich so mancher Investor, er hätte seine Kursgewinne rechtzeitig ab- gesichert (SZ 7. 4. 2001, 28).']"
etw. dahingestellt sein las- sen,"etw. offenlassen, nicht weiter diskutie- ren","['Lassen wir es dahingestellt sein, ob er das Signal wirklich nicht bemerkt hat. Ein wenig schlechtes Gewissen ist dabei,– worauf es sich bezieht, das lasse ich da- hingestellt sein (Th. Mann, Krull 418).']"
dahingestellt sein/bleiben,"nicht bewie- sen, noch fraglich sein/bleiben","['Es bleibt dahingestellt, ob sie das Geld wirklich stehlen wollte.', 'Es sei dahingestellt, wer in den vielen Auseinandersetzungen mit Manövrieren und Finassieren ange- fangen hat (Dönhoff, Ära 32).']"
den Dalles haben,1. in Geld- verlegenheit sein,"['Der fährt seinen Klein- wagen nicht aus ökologischen Gründen, sondern weil er den Dalles hat.']"
den Dalles haben,"2. zerbrochen, entzwei sein","['Die Tasse hat den Dalles.']"
sein Damaskus/seinen Tag von Damaskus erleben,"(durch ein Ereignis) bekehrt werden, sich von Grund auf wan- deln, seine Einstellung grundlegend än- dern","['Als die Panzer in die Prager Innen- stadt rollten, erlebten viele westliche Kommunisten ihren Tag von Damas- kus.', 'Der 34-jährige Weltkrieg-I-Leut- nant erlebte sein Damaskus 1917 in der Ukraine. Der Offizier des Kaisers schloss sich den Ideen Lenins an (www.spiegel. de, 21. 2. 2000).']"
Dame von Welt,weltgewandte weib- liche Person,"['Als Dame von Welt behält sie in jeder Situation den \x05berblick. Eine Existenz voller Widersprüche Re- bellisch von klein auf, blieb sie bis zu- letzt, noch in verwanzten Hotelzimmern, eine große Dame, eine Dame von Welt (Standard 4. 5. 2019). alt, vielfach.']"
nicht auf dem Damm sein,nicht gesund und munter sein,"['Wir muss- ten unsere Abreise verschieben, weil die Kinder nicht auf dem Damm waren. Vgl. die Wendung jmdm. auf den Damm helfen.']"
wieder auf dem Damm sein,wieder gesund und munter sein,"['Ich freue mich sehr, dass Sie wieder auf dem Damm sind (Sebastian, Krankenhaus 194). meine letzte Hoffnung war, er sei wieder so weit auf dem Damm, dass ich ein Wort mit ihm sprechen und ihn um ein Stück Geld angehen konnte (Fallada, Herr 70). Vgl. die Wendung jmdm. auf den Damm helfen.']"
jmdm. auf den Damm helfen/jmdn. wie- der auf den Damm bringen,jmdn.  gesund machen,['Mit einer Ross- kur brachte man die Hauptdarstellerin rechtzeitig wieder auf den Damm und die Premiere war gerettet.']
vor sich hin dämmern,nicht klar bei Bewusstsein sein; eine  Bewusstseinstrübung haben,['Sie lag mit einer schweren Gehirnerschütterung im Bett und dämmerte vor sich hin.']
das Schwert des Damokles hängt/schwebt über jmdm./über jmds. Haupt,jmd. ist von einer bestimm- ten Gefahr ständig bedroht,['Die auf- schlussreichen Unterlagen waren der Presse zugespielt worden und über dem Minister schwebte das Schwert des Da- mokles.']
"wie ein Damokles- schwert über jmdm., über jmds. Haupt hängen/schweben",eine ständige Bedrohung für jmdn. sein,"['Die Gesetzes- änderung hängt wie ein Damokles- schwert über meiner Tätigkeit (Kölner Stadt-Anzeiger 16. 4. 2019, 2). Vgl. die vorangehende Wendung.']"
ist der Dampf raus,"etw. hat seinen Schwung verloren, ist langweilig geworden, erlahmt","['Ohne die Unterstützung durch die Gewerk- schaften wäre aus der ganzen Aktion längst der Dampf raus.', 'Fast scheint es an diesem Nachmittag so, als sei der Dampf raus aus der politischen Debatte (taz 14. 9. 2005, 12).']"
Dampf haben,sich  fürchten,"['Er hatte vor dem Auftritt mächtigen Dampf.', 'Hast wohl Dampf vor den Mä- dels? (Fr. Wolf, Zwei 174).']"
Dampf ablassen,"seinen Ärger, seine Wut abreagieren","['Wir wollten den Geg- nern des Anlasses eine Möglichkeit ge- ben, ihren Unmut auszudrücken und Dampf abzulassen, und das haben sie ge- tan (Berner Zeitung 24. 6. 2019, 3). Selbst- hilfe ist eine ziemlich gute Idee, um schnell und unkompliziert Tipps und Tricks auszutauschen oder einfach mal bei Leuten Dampf abzulassen, denen es ähnlich geht (taz 29. 8. 2019, 14).']"
Dampf draufhaben,1. eine hohe geschwindigkeit haben,['Auf den ers- ten Kilometern hatte die Spitzengruppe noch mächtig Dampf drauf.']
Dampf draufhaben,"2. viel Schwung, Temperament haben","['Die Stim- mung war gut, die Band hatte ordentlich Dampf drauf, alle amüsierten sich.']"
Dampf aufmachen/ aufsetzen,"sich beeilen, sich mehr anstrengen","['Der Bundesrat ist bereit, in dieser Frage Dampf aufzusetzen (Bund 19. 12. 1968). Schöns Truppe brannte förmlich vor Ehrgeiz, machte Dampf auf der Gegner sollte erst gar keine Zeit haben, um Luft zu holen (MM 1. 7. 1974, 4). Vgl. die vorangehende Wendung.']"
jmdm. Dampf machen,jmdn. bei der Arbeit antreiben,"['Der Polier musste den Leuten dauernd Dampf machen. er machte den Athleten Dampf, schob sie zur Tür hinaus und winkte einen Kampfrichter heran, der die Athleten beieinanderhalten sollte (Lenz, Brot 25). Vgl. die Wendung Dampf draufhaben.']"
hinter etw. Dampf machen/setzen,eine Arbeit beschleunigen; sich stärker einsetzen,"['Er will nicht etwa Krach ma- chen, er will etwas Dampf hinter die Sa- che machen (Fallada, Mann 174). Na, noch keine Stellung, Pinneberg? Nu aber Dampf dahinter gemacht, die Kinder schreien nach Brot (Fallada, Mann 70). Vgl. die Wendung Dampf draufhaben.']"
mit Dampf,"voller Eifer, mit Fleiß",['An der Fertigstellung der Südtangente wird mit Dampf gearbeitet. Die Hoch- schulreform wird jetzt mit Dampf betrie- ben. Vgl. die Wendung Dampf draufhaben.']
unter Dampf stehen/sein,1. fahrbereit sein,"['Die beiden Schiffe an der Mole standen bereits unter Dampf.']"
unter Dampf stehen/sein,"2. bereit sein, aktiv zu werden; voller Tatendrang sein","['Haben Sie den Mut, auch einmal nein zu sagen Und Ste- hen Sie nicht ständig unter Dampf! (Hörzu 42, 1982, 149). , weil Sepp Wä- sche, ein fast ständig unter Dampf ste- hender Schauspieler, für Nuancen nicht zu haben ist (Augsburger Allgemeine 13./14. 5. 1978, 25).']"
auf dem falschen Dampfer sein/ sitzen/sich befinden,"sich falsche Vorstellungen machen, bestimmte Mög- lichkeiten falsch einschätzen","['Wenn er glaubt, dass wir auf ihn angewiesen sind, ist er aber auf dem falschen Dampfer. Mensch Maiwald, sagte er, so einen Lu- xus wie Moral, das können wir uns nicht leisten, da bist du von gestern, da bist du auf dem falschen Dampfer (v. d. Grün, Glatteis 254). Wie unsere Moderedakteu- rin hierzu mitteilt, befindet sich der Autor dieses Reports auf dem falschen Dampfer (MM 27. 2. 1968, 3).']"
"jmdm., einer Sache einen Dämp-",jmds. berschwang,nan
fer aufsetzen,"mäßigen; etw. dämpfen, abschwächen","['Ein unerwarteter Misserfolg setzte seiner \x05berheblichkeit einen Dämpfer auf. Einzig die föderalistische Staatsform, einzig ihr Vorkämpfer Bayern setzen der Bonner Regierungsmaschinerie noch ge- linde Dämpfer auf (Augstein, Spiegelun- gen 17).']"
einen Dämpfer bekommen,"eine Rüge erhalten; eine Enttäuschung erfah- ren, die die bisherige Freude, Begeisterung stark abschwächt","['Wie siehst du denn aus, hast du einen Dämpfer bekommen? Vgl. die vorangehende Wendung.']"
Dank wissen,dankbar sein,"['Die Männer werden ihn verleugnen, werden ihm we- nig Dank wissen (Feuchtwanger, Erfolg 723). und ich bin überzeugt, dass es mir jeder der Leser, der sich dieses Meis- terwerk anschaffen will, Dank wissen wird, dass ich ihn darauf aufmerksam machte (SZ 15.10. 1992). so lebensklug, dass sie sich selbst noch etwas gönnt, statt alles den Kindern und Enkeln zu überlassen, die doch keinen Dank wissen (Woche 15. 1. 1999). Blume, Gott, Himmel.']"
"na, ich danke!","Ausruf der Verwunderung, der Zurückweisung","['Ich bin davon überzeugt, dass die Steuerre- form vieles vereinfachen wird. – Na, ich danke!', 'Nur Beischlaf ist befriedigend? Na, ich danke. Der Wert von Zärtlichkeit und Erotik hängt von der Wellenlänge zweier Menschen ab und nicht vom Ge- schlecht .']"
danke für Obst und Südfrüchte!; danke für Backobst!,Ausdruck der Ablehnung,"['Komm doch mit, es wird be- stimmt sehr nett. – Ich danke für Obst und Südfrüchte! Das soll ein großzügiges Angebot sein? Danke für Backobst!']"
danke der  Nachfrage; danke für die  Nachfrage,Dankesformel (auf die Frage nach dem Befinden),"['Und Ihr Rheumatismus, lieber Pater General? Danke der Nachfrage, Eminenz, ich fürchte, er kommt wie je- des Jahr (Hochhuth, Stellvertreter 114). Ich danke der Nachfrage, es geht mei- nem Paten sehr gut (Th. Mann, Krull 171).']"
sonst gehts dir danke?,"du bist nicht recht bei Verstand, wenn du das wirklich ernst meinst","['Wir könnten doch mit dem alten Lieferwagen der Firma in Urlaub fahren. – Sonst gehts dir aber danke? Blume, Firma, Gott, Himmel, Knie, Schöpfer.']"
dann und dann,"zu einem Zeitpunkt, der hier nicht näher bezeichnet wird","['Er teilte ihm mit, dass die Ware dann und dann angeliefert werde.', 'Wir stellen fest, dass Dinge, die uns selbstverständ- lich sind, dann und dann noch nicht da waren und dass sich bei Dingen, die uns merkwürdig vorkommen, kein Mensch etwas dachte (NZZ 31. 3. 2001, 85).']"
dann und wann,"gelegentlich, zuweilen","['Dann und wann treffen wir uns noch in der Stadt oder auf dem Tennisplatz. Auf der Chaussee zog dann und wann ein bäuerliches Fuhrwerk dahin (Th. Mann, Hoheit 171).']"
bis dann!,Grußformel bei der Ver- abschiedung,"['Ich muss jetzt gehen, also bis dann!']"
von dann bis dann,"während eines Zeit- raums, der hier nicht näher bezeichnet wird","['Da sie von dann bis dann im Urlaub wäre, müsste der Sitzungstermin ver- schoben werden. wollen, zu.']"
"nahe daran sein, etw. zu tun",etw. beinahe schon tun,"['Er war nahe daran, ihm die Unterlagen um die Ohren zu schlagen.', 'Verwandte von ihr halfen ihm noch einmal aus, als er nahe daran war, seiner Schulden wegen den Dienst quittieren zu müssen (Th. Mann, Hoheit 176).']"
gut daran tun ,in Bezug auf etw. Be- stimmtes richtig handeln,"['Du tust gut da- ran, wenn du an der Besprechung teil- nimmst. Die Regierung hat gut daran ge- tan, einen neuen Vorstoß in dieser Frage zu unternehmen.']"
etw./nichts darstellen,Ein- druck/keinen Eindruck machen,"['Du musst das Geschenk hübsch verpacken, damit es auch etwas darstellt.', 'Die Ge- schosse sind niedriger und die Fenster kleiner, aber auch diese Häuser wollen et- was darstellen (NZZ 28. 11. 2019, 7). Licht.']"
darüber hinaus,außerdem,"['Darü- ber hinaus gibts nichts Neues zu berich- ten.', 'Neben Schiffen können auch sämtliche Busse und Drahtseilbahnen be- nutzt werden und darüber hinaus 17 Mu- seen kostenlos besucht werden (aben- teuer & reisen 2, 1997, 84).']"
das und das,bestimmte (hier nicht nä- her bezeichnete) Dinge,"['Natürlich muss man Vorgaben erfüllen. Es heißt dann 1000 Wohnungen, und dazu gehören laut Richtlinie das und das (NNN 4. 9. 1986, 3). allerhand, dieser.']"
dastehen wie das Kind beim Dreck,"hilflos, verlegen dastehen","['Als mein Geschäftspartner plötzlich ver- starb, war ich schockiert. Ich stand da wie das Kind beim Dreck und wusste an- fangs nicht, wie es weitergehen soll. Und jetzt steht ihr da wie das Kind beim Dreck – und übt euch fleißig im Distan- zieren. Ist ja kaum auszuhalten eure Il- loyalität! .']"
dastehen wie Butter an der Sonne,vor Scham vergehen,['Sein Bluff war ent- larvt. Er stand da wie Butter an der Sonne und musste sich den Spott der anderen gefallen lassen.']
"dastehen/stehen wie der Ochs am Berg/ wie der Ochs vorm Berg/wie die Kuh vorm neuen Tor/wie die Kuh vorm Scheu- nentor/wie die Kuh, wenns donnert/ wie der Esel vorm Berg","angesichts einer neuen Situation o. Ä. völlig ratlos sein, sich nicht zu helfen wissen","['Nun stehst du da wie der Ochs vorm Berg, du Großmaul. anwurzeln, einwurzeln, Holz, Hose, versteinern.']"
bis dato,bisher,"['Selbst der Ken- ner Münchens erfährt Dinge, die zu München ganz einfach gehören, aber bis dato wenig bekannt waren (Alpinismus 2, 1980, 52). Ich habe recherchiert und ge- merkt, dass es bis dato keinen Film zu dem Thema gab (taz 21. 3. 2011, 23).']"
auf Dauer,für unbegrenzte Zeit,['Sie hat die Stelle auf Dauer.']
auf die Dauer,"auf längere Zeit, eine län- gere Zeit lang","['Aber ich möchte nicht re- duziert werden auf meine Herkunft, als Qualifikation reicht das auf die Dauer nicht aus (Woche 11. 4. 1997, 46).']"
den Daumen senken; mit dem Daumen nach unten zeigen,ablehnend reagieren; seiner Missbilligung Ausdruck geben,"['Der überraschende Ausstieg eines potenziellen Investors führte am Diens- tag dazu, dass die Banken den Daumen senkten (taz 18. 2. 2019, 16). Er ist zu seinem \x05ber- Ich geworden, das gnadenlos dann mit dem Daumen nach unten zeigt, wenn ihm etwas nicht passt (Handelsblatt 14. 3. 2000, 32).']"
