Redewendung,Bedeutung,Beispiel
jemandem durch und durch gehen,"von jemandem als bes. unangenehm, als fast unerträglich empfunden werden",Ihr gellender Schrei ging ihm durch und durch. Der Schmerz ging ihr durch und durch.
bei jemandem unten durch sein,"jemandes Wohlwollen verloren, verscherzt haben","Seit der blöden Bemerkung ist er bei ihm unten durch. Bei manchen Lehrern hat man den Eindruck, dass man gleich unten durch ist, wenn man mal was kritisiert."
etwas durchgehen lassen,"etwas mit Nachsicht behandeln, nicht beanstanden oder bestrafen","Sie hat den Kindern immer alles durchgehen lassen; kein Wunder, dass die es jetzt sehr schwer haben, sich an Regeln und Anordnungen zu halten. Der Schiedsrichter hätte das Foul nicht durchgehen lassen dürfen. Pferd."
auf Durchzug schalten,"jemandes Worte an sich vorbeirauschen lassen, bewusst keine Notiz davon nehmen","Wenn man ihm einen vernünftigen Rat geben will, schaltet er sofort auf Durchzug. Ohr."
"ein Glas/einen/eins über den Durst trinken, über den Durst trinken",zu viel von einem alkoholischen Getränk trinken,"Ellas Gesicht war gerötet, sie wurde immer lustiger, kam aus dem Kichern gar nicht mehr raus und hatte offensichtlich einen über den Durst getrunken."
davon gehen zwölf aufs/auf ein Dutzend,das ist nichts Besonderes,Und was die Neuerscheinung betrifft Davon gehen zwölf aufs Dutzend. Schade ums Papier!
mit jemandem auf Duzfuß stehen,sich mit jemandem duzen,Wir stehen schon lange miteinander auf dem Duzfuß.
mit jemandem Duzis machen,jemandem das Du anbieten,Mit deinem Bruder hab ich auch Duzis gemacht.
ein alter Mann/eine alte Frau/eine Oma ist doch kein D-Zug,ich kann nicht schneller; in meinem Alter geht es etwas langsamer,"Hast du denn nicht gehört, dass es geklingelt hat? – Ich gehe ja schon, ein alter Mann ist doch kein D-Zug. Kinderstube."
irgendwo ist/herrscht Ebbe,"(in Bezug auf einen Gegenstand, der zur Aufbewahrung von Geld dient) darin ist so gut wie kein Geld mehr","Ich kann dir keine 50 Euro leihen, in meinem Portemonnaie ist auch Ebbe. Obwohl in meiner Kasse tiefe Ebbe herrschte, wehrte ich stolz ab."
auf die schiefe Ebene geraten/kommen,"auf Abwege geraten, herunterkommen","Er hatte kein Geld, fand keinen Job und geriet auf die schiefe Ebene."
kurzes Eck,die dem Spieler nähere Seite des Tors,"Ein ehrfürchtiges Raunen breitet sich aus, als er vor der Pause einen Freistoß raffiniert aufs kurze Eck dreht."
langes Eck,die vom Spieler weiter entfernte Seite des Tors,Er erzielte mit einem platzierten Flachschuss ins lange Eck auch das entscheidende Tor.
über/übers Eck,diagonal,"Das Tuch wird über Eck zusammengelegt und um den Hals geschlungen. Man kann die Boxen auch über Eck aufstellen, wobei sich dann der Schall auf eine Zimmerecke konzentriert."
jemanden über Eck ansehen/anschauen,sich jemandem gegenüber ablehnend verhalten; jemanden schief ansehen,Er interessierte sich weder für Fußball noch für Rock und Rap und wurde von den Klassenkameraden über Eck angesehen.
kurze Ecke,1. auf kurze Entfernung zu einem Mitspieler gespielter Eckball,"Eine kurze Ecke schlug Beinlich blitzschnell auf Rink, der zum 2  2 einköpfte."
kurze Ecke,2. kurzes Eck,vgl. Eck.
lange Ecke,1. vors Tor gespielter Eckball,"In der 7. Minute machte Magnus seinen Fehler aber wieder gut und trat eine lange Ecke zu Bastian, der zum 1  1 ausglich."
lange Ecke,2. langes Eck,vgl. Eck.
lange Ecke,3. Eckschlag,"Nach einem Pfostenschuss in der 2. Minute, einem Tor in der 4. Minute verwandelte Frank eine lange Ecke zum 0  2."
an allen Ecken,überall,Den Kommunen fehlt das Geld an allen Ecken und Enden. Es hapert an allen Ecken und Kanten. Und hier ziehts ja an allen Ecken und Enden.
Ecke stehen,"als Prostituierte auf der Straße, an der Straßenecke auf Kundschaft warten",Dieses Viertel ist als Autostrich verrufen. Da stehen sie rund um die Uhr Ecke.
mit Ecken und Kanten,"von ausgeprägtem eigenwilligem, nicht sehr umgänglichem Charakter","Er war ein schwieriger, knorriger Zeitgenosse mit Ecken und Kanten, doch wies er niemanden zurück, der ihn um Rat fragte."
jemanden um die Ecke bringen,jemanden umbringen,"Zu viel oder zu wenig Sport, zu hoher oder zu niederer Blutdruck und natürlich der Cholesterinspiegel – alles kann uns um die Ecke bringen. Werden sie ihr reines Gewissen für die Aussicht auf finanziellen Wohlstand aufgeben und einen Konkurrenten des Onkels um die Ecke bringen?."
um die Ecke gehen,1. eines gewaltsamen Todes sterben,Viele Leute sind bei diesem entsetzlichen Unfall um die Ecke gegangen.
um die Ecke gehen,2. zur Toilette gehen,"Ich muss mal eben noch kurz um die Ecke gehen, danach können wir aufbrechen!"
etwas um die Ecke bringen,1. bei sich bietender Gelegenheit sich etwas aneignen,Er hatte als Hilfsarbeiter auf der Baustelle gejobbt und dabei eine ansehnliche Reihe von Werkzeugen um die Ecke gebracht.
etwas um die Ecke bringen,"2. leichtsinnig und verschwenderisch mit etwas umgehen, etwas vergeuden",In wenigen Jahren hatte er den großen Lottogewinn bereits um die Ecke gebracht.
jemandem nicht um die Ecke trauen,jemandem gegenüber höchst misstrauisch sein,"Der Bursche hat mich damals hereingelegt, dem traue ich nicht mehr um die Ecke."
"mit jemandem um/über ein paar, um/über drei/fünf/sieben Ecken verwandt sein",mit jemandem weitläufig verwandt sein,Angeblich ist sie um sieben Ecken mit einer berühmten italienischen Sopra nistin verwandt. Opa war schon über achtzig und über fünf Ecken richtig mit uns verwandt.
um die Ecke gucken/schauen/schielen/warten,unmittelbar bevorstehen; sich ankündigen,"Doch jedem seiner Witze sieht man an, wie verteufelt viel Arbeit und Anlauf es dafür bedurfte Die Pointen schielen schon um die Ecke, wenn ihre Exekution noch viertelstundenlang bevorsteht. Jedes Album gibt mir einen Grund zu dem nächsten zu gehen, es wartet schon um die Ecke. Ein bisschen Frühling hat auch schon um die Ecke geschaut."
wie eh und je,wie schon immer,"Trotz der langen Trennung verstanden wir uns wie eh und je. Sehr gute Papiere, die besten, die wir haben, sind so begehrt wie eh und je."
Ehe zur linken Hand,eine nicht standesgemäße Ehe,"Nicht nur in fürstlichen, auch in bürgerlichen Häusern gibt es so etwas wie Ehen zur linken Hand."
wilde Ehe,Zusammenleben von Mann und Frau ohne standesamtliche Trauung,"Ich kann nicht vor meinen Kindern mit dir in wilder Ehe leben. Zweimal hat sie geheiratet. Beide Male nach zwölf Jahren wilder Ehe. Bund, Hafen, Stand."
"Ehre, wem Ehre gebührt!","Formel, mit der man jemandem seine Anerkennung ausdrückt, Hochachtung bekundet oder jemandes als übertrieben oder unangebracht erscheinende Ehrung kommentiert","Jetzt soll sie auch noch den Vorsitz im Verein übernehmen. Na ja, Ehre, wem Ehre gebührt! Ehre, wem Ehre gebührt, wir werden ihm stets ein dankbares Andenken bewahren."
habe die Ehre!,"2. leicht scherzhafter, verstärkender Ausdruck des Erstaunens","Der Franz hat heute beim Kartenspielen verloren, habe die Ehre!"
was verschafft mir die Ehre?,"was ist der Grund Ihres, deines Besuchs?","Lässt du dich auch mal wieder sehen, was verschafft mir die Ehre?"
jemandem alle Ehre machen,jemandes Ansehen fördern,Ihr Engagement für die sozial Benachteiligten macht ihr alle Ehre.
sich die Ehre geben,"sich beehren, es sich erlauben (in schriftlichen Einladungen, in Verlobungs-, Vermählungsanzeigen)",Herr XY und Frau Gemahlin geben sich die Ehre die Verlobung ihrer Tochter Friederike mit Herrn ZZ bekannt zu geben.
der Wahrheit die Ehre geben,die Wahrheit bekennen,Um der Wahrheit die Ehre zu geben Ich habe von den Vorgängen gewusst.
etwas ist aller Ehren wert,"Lob, Anerkennung verdienen","Er hat sich bemeistert, es war aller Ehren wert und nicht leicht. Gewiss setzt er technische Vorbereitungen und Kenntnisse voraus, die aller Ehren wert sind."
etwas auf Ehre und Gewissen erklären/versichern,"etwas nachdrücklich erklären, versichern","Er versicherte auf Ehre und Gewissen, nicht am Steuer des Unglückswagens gesessen zu haben."
auf Ehre!,Beteuerungsformel,"Kannst du mir etwas Geld geben? Du bekommst es wieder, auf Ehre!. Auf Ehre, da ist der Kanal, da liegt auch schon die große Stadt."
mit Ehren,ehrenvoll,Er war mit allen Ehren aus dem Dienst entlassen worden.
zu jemandes Ehre,um jemandem gerecht zu werden,"Zu ihrer Ehre muss gesagt werden, dass sie sich für keine Arbeit zu schade war. Zur Ehre des Untersuchungsausschusses wollen wir nicht vergessen, wie wenig gesicherte Fakten seinerzeit bekannt waren."
eine Ehrenrunde drehen,eine Klasse wiederholen,Sie steht in Latein und Englisch auf Fünf – sie wird wohl eine Ehrenrunde drehen müssen.
Ehrenwort,Beteuerungsformel,"Kannst du mir das Geld leihen? Du bekommst es am Ersten zurück, Ehrenwort!"
ehrlich währt am längsten,"man soll immer ehrlich bleiben, das ist auf die Dauer am besten.","Makler, Rücken."
ei machen,streicheln,"Nicht den armen Teddy hauen! Mach schön ei, ei! Daus, Tausend, Teufel."
das Ei des Kolumbus,eine überraschend einfache Lösung,"Das ist das Ei des Kolumbus! Wir transportieren das Klavier über den Balkon in die Wohnung. Es bleibt nur noch das Ei des Kolumbus Regiment aller Parteien gleichzeitig. Die Verwaltung wird der Kommission das Ei des Kolumbus auch nicht liefern können, denn das Dossier ist voll von Zielkonflikten."
das Ei/Küken will klüger sein als die Henne,die Jungen wollen klüger sein als die erfahrenen Älteren,"Ich habe ihm gesagt, dass er ohne Taucherausrüstung nicht in die Höhle gelangen kann, aber das Ei will mal wieder klüger sein als die Henne."
ungelegte Eier,"Dinge, die noch nicht spruchreif sind","Kümmere dich nicht um ungelegte Eier! Doch abergläubisch wie die meisten Künstler, will er über ungelegte Eier nicht sprechen."
dicke Eier,(als Mann) ein starkes Bedürfnis nach Sex,"Die beiden Jungs, die mit uns am Hermannplatz in die U-Bahn eingestiegen sind, haben unfassbar dicke Eier. Zumindest signalisiert ihre Körperhaltung das, oder zumindest hab ich das Gefühl, es würde sie sehr freuen, wenn ihre Körperhaltung das signalisieren würde."
das Ei unterm Huhn verkaufen müssen,in Geldnöten sein,Reserven? Schön wärs! Tatsache ist Die erwarteten Kunden sind ausgeblieben und wir müssen das Ei unterm Huhn verkaufen!
ein Ei legen,2. etwas mühsam Ausgeklügeltes produzieren,Zweihundert Seiten über die Normierung von Gartenschlauchanschlüssen – da hat die Kommission wieder mal ein Ei gelegt.
jemandem ein Ei legen,"jemandem ein Problem bereiten, jemandem schaden",Bereits zweimal hat die SPD-Landtagsfraktion dem brandenburgischen Ministerpräsidenten ein dickes Ei ins Nest gelegt.
jemandem die Eier polieren,jemanden heftig verprügeln,"Wenn du nicht spurst, polieren wir dir die Eier!"
wie aus dem Ei gepellt/geschält,sehr sorgfältig gekleidet,"Sie sieht immer aus wie aus dem Ei gepellt. Aber an jedem neu anbrechenden Tag standen die Männer wieder wie aus dem Ei geschält auf ihren Appellplätzen. Apfel, behandeln, gackern, gehen, Gelbe, gleichen, Huhn, Kick, sitzen."
"was kümmert/stört es die Eiche, wenn sich eine sau an ihr reibt/kratzt?",die Kritik solcher Personen kann ignoriert werden,"Was stört es die Eiche, wenn sich eine Sau an ihr reibt? Oder, konkreter, was juckt es die Euro-Retterin Angela Merkel, wenn die Kleingeister der Opposition zu Hause an der etwas höheren Neuverschuldung herummäkeln?."
auf etwas geeicht sein,sich auf etwas besonders gut verstehen,"Sie war darauf geeicht, allen persönlichen Fragen geschickt auszuweichen. Weil so ein Drehbuchschreiber darauf geeicht ist, vorhandene Fakten zu sinnvollen Geschehnissen aufzubereiten."
mühsam nährt sich das Eichhörnchen,die Ausführung dieses Vorhabens ist langwierig und mühselig,In drei Wochen soll wieder darüber verhandelt werden. Wie sagt man noch so schön Mühsam nährt sich das Eichhörnchen.
jemanden in Eid und Pflicht nehmen,jemanden vereidigen,Vor Amtsantritt wird der zukünftige Präsident in Eid und Pflicht genommen. statt.
noch die Eierschalen hinter den Ohren haben,noch sehr unreif und unerfahren sein,"Der Bewerber ist keine Konkurrenz für dich, der hat doch noch die Eierschalen hinter den Ohren."
im Eifer des Gefechts,in der Eile,"Das habe ich im Eifer des Gefechts übersehen. So etwas kann im Eifer des Ge fechts schon mal passieren. Im Eifer des Gefechts ist dem Vorstand auf den jüngsten Einladungen allerdings ein Fehler unterlaufen Dort, wo im Datum März stehen sollte, steht der Februar. blind."
etwas zu eigen haben,"etwas besitzen, haben","Er betrat das Haus, das er früher einmal zu eigen hatte."
jemandem etwas zu eigen geben,jemandem etwas schenken,"Es waren zwei kleinere Aquarelle, die er ihr in den frühen Jahren seines Künstlertums zu eigen gegeben hatte."
sich etwas zu eigen machen,"sich etwas aneignen, erlernen, übernehmen","Wer sich diesen Ratschlag zu eigen macht, den wird der Nebel kaum erschrecken können."
Eigenlob stinkt,man soll sich nicht selbst loben,"Eigenlob stinkt zwar, aber meine Idee war einfach genial!"
eile mit Weile,erledige auch eilige Dinge nicht überhastet,"Die Deutschen, die in Maastricht zu den Ersten gehörten, dürfen nun durch ihren Bundespräsidenten das Vertragswerk als Letzte unterzeichnen Eile mit Weile. Fahne."
im Eimer sein,"entzwei, verdorben, verloren sein","Die schöne Stim mung war plötzlich im Eimer. Den Schaden am Lastwagen bezahlt meine Versicherung. Mein Cadillac ist im Eimer. Wenn die Maschine Feuer fängt, ist alles im Eimer."
ein für alle Mal,"für alle Zeit, endgültig","Noch einmal ein solches Benehmen und du fliegst raus. Lass dir das ein für alle Mal gesagt sein. Da stand ich nunmehr in meiner Zelle, die Gewissheit vor mir, ein für alle Mal verurteilt zu sein."
jemandes Ein und Alles sein,jemandes ganzes Glück sein,"Das Kind war ihr Ein und Al les. Immer wieder betont sie ihre Liebe zu Rudi, ihrem Ein und Alles."
ein und dasselbe,genau das Gleiche,Kochsalz oder NaCl – das ist doch ein und dasselbe. Zufällig hatten ein Sicherheitsbeamter der Marine und Houghton ein und dasselbe Stammlokal.
in einem fort,ununterbrochen,"Er hatte in einem fort etwas an ihr auszusetzen. Ich bin wirklich froh, dass die Tini eine Ansprache hat und nicht in einem fort zu Hause sitzt. abhaben."
sich einbalsamieren lassen können,"versagt haben, zu nichts zu gebrauchen sein",Die Flasche kann sich einbalsamieren lassen – mit so einer schwachen Leistung kann man kein Spiel gewinnen!
Einbildung ist auch eine Bildung,"das ist reine Einbildung, nichts als Überheblichkeit",Du hättest die Frage besser beantwortet als er? Einbildung ist auch eine Bildung!
Einfälle haben wie ein altes Haus/wie ein alter ofen,sonderbare Einfälle haben,Du willst deinen Urlaub im Ruderboot verbringen? Du hast Einfälle wie ein altes Haus.
heilige Einfalt!,"Ausdruck der Betroffenheit, des Erstaunens über jemandes Naivität oder Unbekümmertheit","Du hast diesem Windhund alles geglaubt, was er dir erzählt hat? Du heilige Einfalt!"
eingehen wie eine Primel/wie ein Primeltopf,"zugrunde gehen, hoch verlieren","Bei dieser Hitze braucht man dauernd etwas zu trinken, sonst geht man ja ein wie eine Primel. Der Herausforderer ging bereits in der ersten Runde gegen den Europameister ein wie ein Primeltopf."
eingehen wie eine böhmische Leinwand,"mutlos werden, zusammenbrechen","Dann geht die Welt zwar nicht unter, aber sie geht ein – wie eine böhmische Leinwand."
"jemandem, einer Sache Einhalt gebieten/tun","jemanden an der Weiterführung seines Tuns hindern; eine schädliche Sache an der Ausbreitung, Fortentwicklung hindern","Der weiteren Verschandelung unserer Städte durch riesige Betonklötze muss Einhalt getan werden. Es gab niemanden, der den Mächtigen des Landes hätte Ein halt gebieten können. Es würde mich sehr interessieren, ob es in Ihrer Zeitung keinen Lektor gibt, der einem solchen schluderigen Umgang mit der Sprache Einhalt gebietet."
jemandem einen Einlauf verpassen,jemanden heftig maßregeln,"Irgendein Trottel, der mit der deutschen Sprache auf Kriegsfuß steht, hat das Ding adressiert, und irgendein Trottel bei uns muss es in Empfang genommen haben. Dem will ich einen Einlauf verpassen."
einmal ist keinmal,"(meist als Entschuldigung für einen Fehler, ein Vergehen) es ist bedeutungslos, so gut wie nicht geschehen","Die Busfahrerin dachte wohl, einmal ist keinmal, und fuhr an der Haltestelle vorbei."
