Idiom,Meaning,Meaning_translated_KR
devil's advocate,"someone who takes a position for the sake of argument, without necessarily believing in or supporting that position","결론을 위해 입장을 취하는 사람, 반드시 그 입장을 믿거나 지지하지는 않는 사람"
devil-may-care,"reckless or carefree, showing no concern for the consequences","무모하거나 걱정 없는, 결과에 대한 신경을 쓰지 않는"
dial down,"to reduce or lessen the intensity, volume, or level of something; to calm or relax","어떤 것의 강도, 음량 또는 수준을 줄이거나 감소시키다; 진정시키거나 편안하게 하다"
dice with death,to engage in a risky or dangerous activity,위험하거나 위험한 활동에 참여하다
die in harness,to continue working until one's death or retirement,죽거나 퇴직할 때까지 계속 일하다
die on the vine,to fail or be abandoned before it is completed or successful,완료되거나 성공하기 전에 실패하거나 포기되다
different strokes for different folks,acknowledgement that different people have different preferences or ways of doing things,다른 사람들이 서로 다른 선호나 방법을 가지고 있다는 것을 인정하는 것
dig deep,"to make a great effort or find inner strength, especially in difficult or challenging situations",어려운 상황에서 큰 노력을 하거나 내면의 힘을 찾다
dig heels in,to refuse to change one's opinion or stance; to become stubborn or resolute,자신의 의견이나 입장을 바꾸기를 거부하다; 고집이 세거나 확고해지다
dig up dirt,To find or uncover damaging or embarrassing information about someone,누군가에 대한 유해하거나 당혹스러운 정보를 찾거나 밝혀내다.
dime a dozen,very common or abundant; easily found or obtained at a low cost,매우 흔하거나 풍부한; 쉽게 찾아볼 수 있거나 저렴한 비용으로 얻을 수 있는
dip your toe in the water,"to try or experience something new or unfamiliar, usually in a cautious or limited way",새롭거나 낯선 것을 보통 조심스럽거나 제한적인 방법으로 시도하거나 경험하다
dire straights,a very serious or dangerous situation,매우 심각하거나 위험한 상황
dirty work,"unpleasant or morally questionable tasks or actions that someone is unwilling to do themselves, often done by another person instead","자신이 직접 하기를 꺼리는 불쾌하거나 도덕적으로 의심스러운 작업이나 행동, 종종 다른 사람이 대신 하는 것"
discretion is the better part of valour,"to act with caution and prudence is often the wisest course of action, especially in dangerous or risky situations","조심하고 신중하게 행동하는 것은 종종 가장 현명한 행동 방식이며, 특히 위험하거나 위태로운 상황에서 그렇습니다."
discussing Uganda,avoiding an unpleasant topic or confrontation,불쾌한 주제나 대립을 회피하다
dish fit for the gods,a meal that is exceptionally delicious or exquisite in taste,특별히 맛있거나 정교한 맛의 식사
dish the dirt,to gossip or share scandalous information about someone,누군가에 대한 가십을 하거나 스캔들 정보 공유하기
do _ dirty work,to perform unpleasant or dishonest tasks for someone else,다른 사람을 위해 불쾌하거나 비 dishonest한 일을 하다
do _ trick,to accomplish something with a simple or effective solution,간단하거나 효과적인 해결책으로 무언가를 성취하다
do a bunk,"to leave quickly, especially to escape or avoid a difficult or unpleasant situation",특히 어려운 상황이나 불쾌한 상황을 피하거나 도망치기 위해 빠르게 떠나다.
do a number on,To cause damage or harm to someone or something,누군가 또는 무언가에게 피해를 주다.
do a runner,"to leave or run away, often to avoid a difficult or uncomfortable situation",어려운 상황이나 불편한 상황을 피하기 위해 떠나거나 도망치다
do justice to,to treat or represent something in a fair or accurate manner; to give something its deserved credit or recognition,무언가를 공정하거나 정확하게 다루거나 표현하다; 무언가에 마땅한 인정이나 신뢰를 주다
do me a favour,to ask someone for a favor or assistance,누군가에게 부탁하거나 도움을 요청하다
do or die,to face a situation where success is crucial and failure is not an option; to give one's all and do whatever it takes to achieve a goal,성공이 중요하고 실패가 불가능한 상황에 직면하다; 목표를 달성하기 위해 모든 것을 다하고 필요한 모든 조치를 취하다
do someone proud,"to do something in a way that brings great pride, satisfaction, or honor to someone","누군가에게 큰 자부심, 만족감 또는 명예를 주는 방식으로 무언가를 하다"
do someone's head in,to annoy or overwhelm someone mentally or emotionally,누군가를 정신적으로 또는 감정적으로 괴롭히거나 압도하다
do something at the drop of a hat,to do something immediately or without hesitation,즉시 또는 주저하지 않고 무언가를 하다
do the dirty work,"to do the unpleasant or difficult tasks, especially on behalf of someone else",특히 다른 사람을 대신해 불쾌하거나 어려운 일을 하다
do the honours,"to perform a special task or take on a special role, often as a gesture of courtesy or respect","특별한 임무를 수행하거나 특별한 역할을 맡다, 종종 예의나 존경의 표시로."
do the right thing,act or behave in a morally or socially acceptable way,도덕적으로나 사회적으로 용납될 수 있는 방식으로 행동하다
do the trick,to achieve the desired result or solve a problem,원하는 결과를 달성하다 또는 문제를 해결하다
do unto others as you would have them do unto you,to treat others the way you would like to be treated,다른 사람을 당신이 대접받고 싶은 대로 대하다
dog and bone,a telephone,전화기
dog days,"the hot, sultry days of summer",덥고 무더운 여름의 날들
dog days of summer,hot and humid days during the summer season,여름철의 덥고 습한 날들
dog eat dog,cutthroat competition; a situation characterized by ruthless and aggressive behavior,치열한 경쟁; 무자비하고 공격적인 행동이 특징인 상황
dog in the manger,someone who selfishly prevents others from using or enjoying something that they themselves have no use for,"남들이 사용하는 것이나 즐기는 것을 이기적으로 방해하는, 자신은 필요하지 않은 것을 가진 사람"
dog tired,extremely exhausted or tired,매우 지치거나 피곤한
dog's age,a very long time,아주 오랜 시간
dog's life,an unhappy or difficult life; a life full of hardships or problems,불행한 삶 또는 어려운 삶; 고난이나 문제로 가득 찬 삶
dog-eat-dog,very competitive and ruthless,매우 경쟁적이고 무자비한
dogs are barking,one's feet are sore or tired,발이 아프거나 피곤하다
doldrums,a state of low spirits or inactivity; a feeling of sadness or stagnation,우울한 상태나 비활동적인 상태; 슬픔이나 정체감을 느끼는 것
dollars to donuts,"an expression used to indicate absolute certainty or confidence in a prediction or outcome, often used when comparing two unequal things","절대적인 확신이나 자신감을 나타내는 표현으로, 종종 두 개의 불균형한 것을 비교할 때 사용됩니다."
