Idiom,Meaning,Meaning_ar
حتى متى؟,Till when? How long?,إلى متى؟ كم المدة؟
حتى متى؟,How far? To which point?,إلى أي مدى؟ إلى أي نقطة؟
حتى وال,"Not even, and be it only",ولا حتى، ولو كان فقط
َحث ّ الطريق,"To hurry, to hasten",الإسراع، التعجيل
حث ّ خ ُ ط َ اه,To quicken one’s pace,لِيُسْرِع في خُطاه
حث ّ قدمَيْه,To break into a run,يَندَفِع في الجَري
ًحجا به خيرا,"To think well of someone, have a good opinion of someone",يُحسِن الظن بشخص ما
حجارة كِلسِيَّة,Limestone,حَجَر الجِير
حجب الرؤية عن شخص,To block someone’s view,لحجب رؤية شخص ما
حجر الناصية,Cornerstone,حَجَر الزاوية
حِجْرِ صِحِّي,Quarantine,الحَجر الصِحّي
حجر عث ْ رَة,Stumbling block,حَجَر عَثْرة
الحِجر على األفكار,"Thought-ban, mind control",حَظر الأفكار، السيطرة على العقل
حجر كريم,Precious stone,حَجَر كَريم
حجزه للحكم,To postpone a case until sentencing,تأجيل القضية حتى إصدار الحكم
الحدّ األدنى,Minimum,الحد الأدنى
الحدّ األدنى لألجور,The minimum wage,الحد الأدنى للأجور
الحد األعلى,The maximum,الأقصى
الحد األقصى,The maximum,الأقصى
حد النهاية,"Utmost limit, last step",الحد الأقصى، الخطوة الأخيرة
الحد من,"Prevention (of something), restriction",وِقاية (من شيء)، تَقييد
حدا بِـ,To instigate something,لإثارة شيء ما
حدا بهم الحديث ُ إلى,Their conversation led them to,أدَّى حِوارهم إلى
حدث مزعج,An unpleasant event,حَدَث غير سار
. . . حدّث نفسَه أن,"He said to himself, told himself that...",قال لنفسه، أخبر نفسه أن...
حدّث نفسَه بِـ,To talk oneself into something,إقناع النفس بشيء ما
حدّثته نفسُه,His innermost feeling told him,أخبره شعوره الداخلي
حدّثه قلبُه,"His heart, his innermost feeling told him",قلبه، شعوره الداخلي أخبره
(حدّج ببصره )بنظره,To stare,يُحَدِّق
حدّد بصرَه,"To dart sharp glances, to scrutinise",لإلقاء نظرات حادة، للتدقيق
ًحدر حدرا,"To rattle off, express quickly (an utterance, a thought)",يُسرِع في التعبير عن (قول، فكرة)
حدّق النظر,To fix one’s glance on,يُثَبِّت نَظَرَه على
حديث البناء,New-built,مَبني حديثًا
حديث السن,Young,شاب
حديث العهد,"Of recent date, new",حديث العهد، جديد
حديث العهد,"Recent, late, new, young",حديث، متأخر، جديد، شاب
حديث العهد بِـ,"Inexperienced at something, new at something",غير مُتَخَصِّص في شيء، جديد في شيء
حديث العهد بالزواج,Newly-wed,حديث الزواج
حديث العهد بالوالدة,Newborn,مولود جديد
حديث النمط,"New-fashioned, modern",حديث، عصري
الحديث شجون,Conversation drifts from one topic to another,المحادثة تنتقل من موضوع إلى آخر
حديث عهد بِـ,"Having adopted or acquired (something) recently, inexperienced at (something), new at (something)",مُستَجِدّ في (شيء)، غير خبير في (شيء)، جديد في (شيء)
حديث عهد بعرس,Newly-wed,حديث الزواج
حديث نبوي,Prophetic tradition,الحديث النبوي
ًحديثا,"Recently, lately",مؤخراً
(حذار أن )من,"Beware of doing..., watch out for! Be careful of!",احذر من القيام بـ...، انتبه! كن حذراً من!
حَذ ْ وَ الق ُ ذ َّ ة بالقذة,"Exactly identical, deceptively alike",متطابق تمامًا، متشابه بشكل خادع
حَذ ْ وَكَ الن َّ عْلَ بِالنعل,"In a completely identical manner, like two peas in a pod",بطريقة متطابقة تمامًا، مثل حبتين في قرن واحد
حرام عليك,You mustn’t do that!,لا يجب عليك فعل ذلك!
حرب العِصَابات,Guerrilla war(fare),حرب العصابات
ٌحرب ضَرُوس,"Fierce, murderous war",حرب شرسة وقاتلة
الحرث والنسل,The civilisation of man,حضارة الإنسان
حِرْصا ً على,"In the desire for, out of concern for",رَغبةً في، حِرصًا على
حرفا ً بحرف,Word for word,صَبُور
حرّفه عن موضعه,"To distort the sense of something, rob something of its true meaning",لتَشويه مَعنى شيء ما، وسَلبه مَعناه الحَقيقي
حرَق أسنانَه,To gnash one’s teeth,يَصرّ على أسنانه
( ً حَرَقَ األ ُ رَّمَ )غَضبا,To gnash one’s teeth (in anger),يَصرّ على أسنانه (غضبًا)
(حرَق قلبَه )قلوبَهم,"To vex, exasperate someone",لإزعاج أو إثارة غضب شخص ما
َحرّك العواطف,"To affect the feelings, be touching",لِيُؤَثِّر في المَشاعِر، يَكون مُؤَثِّرًا
حرّك ساكنَه,"To rouse someone, agitate someone",لإيقاظ شخص ما، لإثارة شخص ما
حرّك مشاعرَه,"To excite, thrill someone",لإثارة شخص أو تشويقه
حركات الإراديّة,Involuntary movements,حركات لا إرادية
حركة كشفية,Boy scout movement,حركة الكشافة
حرّمه على نفسه,"To deny oneself something, abstain, refrain from something",الامتناع عن شيء، الامتناع، الكف عن شيء
حري بالتصديق,"Credible, believable",موثوق، قابل للتصديق
حَرِيُّ بالذكر,"Worth mentioning, considerable",جَدير بالذِّكر، مَلحوظ
حرّيّة الرأي,Freedom of opinion,حرية الرأي
ُحزَب األمر,The matter became serious,أصبحت المسألة جادة
ٌحَزَبَهُ حازب,He met with a mishap,تَعَرَّضَ لِحادِثٍ
حزم أمرَه,To take matters firmly in hand,لأخذ الأمور بحزم
حز ّ م متاعَه,"To pack one’s things, tie up one’s effects",لِيَحزِم أمتِعَته، يَربُط مُقتَنياته
حَسَبَ األصول,"Properly, in conformity with regulations",بِشَكلٍ مُنَاسِب، وَفْقًا لِلأنظِمَة
حَسَبَ الظاهر,"In outward appearance, externally, outwardly",ظاهريًا
حسب ألفَ حسابَ لِـ,To have a thousand apprehensions about...,أن يكون لديه ألف هاجس بشأن...
حسب اللزوم,"As required, as the occasion demands",حسب الحاجة، كما تقتضي المناسبة
حسب حسابا ً لِـ,To attach importance to someone or something,يُولِي أهمية لشخص أو لشيء ما
حسب حسابَه,"To take something or someone into account or into consideration, count on something or someone",أخذ شيء أو شخص بعين الاعتبار، الاعتماد على شيء أو شخص
. . . حسباني أن,I expect that...,أتوقع أن...
حسبُك (بحسبك) درهم,One dirham is enough for you,دِرهَم واحِد يَكفيكَ
. . . حسبك أن,"It suffices to say that, you know enough when you hear that, you need only...",يكفي أن نقول إنه، عندما تسمع ذلك، تعرف ما يكفي، تحتاج فقط إلى...
حسبما,"According to what, depending on how...",وفقًا لِما، اعتمادًا على كيفية...
حسبما اتفق,As chance will have it,كما تشاء الصدفة
حسبما أذكر,As far as I remember,على حد علمي
حسبما يحلو له,"At his discretion, as he pleases",حسب تقديره، كما يشاء
حَسَر البصَر,"Near-sightedness, myopia",قُصر النَّظر
حسُن استعدادُه لِـ,He was all willing to...,كان مُستَعِدًّا تمامًا لِ...
حسن األداء,"Good rendition (of a work of art, of a musical composition)",تَجسيد جَيّد (لعمل فني، أو لتأليف موسيقي)
حُسْنُ التصرف,Discretion,تَحَفُّظ
حسن التعبير,Euphemism,تَلطيف اللُغة
حسن السلوك,Good behaviour,سُلوك حَسَن
حسن الطالع,"Good fortune, lucky star, good luck",حَظّ جَيّد، نَجم مُحظوظ، تَوفيق
حسن الظن,"Good opinion, favourable judgement",رأي جيد، حُكم إيجابي
حسن الظن,Good opinion,رأي جيد
حسن العِزوة,"Of good ancestry, of good stock",ذو نسبٍ طيب، من أصلٍ جيد
(حسن القصد )النية,"Good intention, good will",نِيَّة حَسَنة، إرادة طَيِّبة
حَسَن القِمَّة,Well-built,مَبني بشكل جيد
حسن النية,"Good intention, good will, honesty",نِيّة حسنة، إرادة طيبة، صِدق
حَسُنَ ظن ُّ هُ به,"To have a good opinion of someone, think well of someone",يَحسُن الظن بشخص
ًحَسَنا,"Well, splendidly",حَسَنًا، بِرَوعة
حسنت نيته في,To have good intentions,أن يَكون لَدَيه نَوايا حَسَنة
حشر نفسَه بين الناس,To push one’s way through the crowd,أن يشق طريقه عبر الحشد
حصان السباق,Racehorse,حصان سِباق
حصان كريم,Thoroughbred horse,حصان أصيل
حصل,"To result, take place",يَحدُث، يَتَحَقَّق
حصل لِـ,"To happen, occur to someone",يَحدُث لشخص ما
الحصن الحصين,Stronghold,حِصن
َّحصّن ضِد,To immunise,لِتَحصين
حصول على,Obtainment of,الحُصول على
ًحضر مجلسا,"To take part, participate in a meeting",للمشاركة في اجتماع
حضور الذهن,Presence of mind,حُضور الذِّهن
َحط ّ الرحال,"To dismount, encamp",يَترَجَّل، يُخَيِّم
