Idiom,Meaning,Meaning_trans
أو باألحرى,"Or to tell the truth, put more exactly, to be exact, rather",أو لأقول الحقيقة، وبعبارة أدق، لأكون أكثر دقة، أو بالأحرى
أو تشك في ذلك,"You wouldn’t doubt it, would you?",أنت لا تشك في ذلك، أليس كذلك؟
أو على األصح,Or more properly speaking,أو بمعنى أصح
أو ق ُ ل,"Or rather, or say even...",أو بالأحرى، أو لنقل حتى...
أوابد الدنيا,The wonders of the world,عجائب الدنيا
أواسط الشهر,In the middle of the month,في منتصف الشهر
أواصر الوالء,Bonds of friendship,روابط الصداقة
ًأوجس خيفة,To have a sensation of fear,أن يكون لديك إحساس بالخوف
أوجس فيه الملل,"To feel that someone is bored, sense someone’s boredom",أن تشعر بأن شخصًا ما يشعر بالملل أو تشعر بملل شخص ما
َّأوحِي إلي,"It occurred to me, I was inspired",لقد حدث لي، لقد ألهمتني
أود أن يفعل ذلك,I should like him to do this,أود منه القيام بذلك
َأودعه السجن,To throw someone in prison,إلقاء شخص ما في السجن
أودى بحياته,To destroy someone’s life,تدمير حياة شخص ما
أودى بصحته,"To ruin someone’s health, sap someone’s strength",لتدمير صحة شخص ما، واستنزاف قوة شخص ما
َأوسع النفقة,To incur great expenses,تكبد نفقات كبيرة
ًأوسع صدرا,More patient,المزيد من المرضى
أوسع مدى,"Broader, wider",أوسع وأعرض
ًأوسعه برّا,"To treat someone with the greatest reverence, bestow ample favours upon someone",أن تعامل شخصًا ما بأكبر قدر من الاحترام، وتمنح شخصًا ما أفضالاً كثيرة
ًأوسعه شتما,To heap abuse at someone,توجيه الإساءة إلى شخص ما
ًأوسعه ضربا,"To give someone a sound beating, wallop someone",لإعطاء شخص ما ضربًا مبرحًا أو ضربًا مبرحًا
(أوشك على )أن,To be about to do something,أن تكون على وشك القيام بشيء ما
أوصاه خيرا ً بِـ,He urged him to take care of,وحثه على الاهتمام بـ
أوصل كل ذي حق بحقه,To give everyone his due,لإعطاء كل ذي حق حقه
أوضاع حياتية,Living conditions,ظروف المعيشة
أوغر صدره على,"To stir up someone against, arouse bitter feeling in someone against",لإثارة شخص ما ضد شخص ما، إثارة شعور المرارة في شخص ما ضد شخص ما
أوغل في السير,"To walk briskly, advance quickly",المشي بسرعة، والتقدم بسرعة
أوغل في الكالم,"To exaggerate, draw a longbow",للمبالغة، ارسم قوساً طويلاً
ًأوفر حظا,"Luckier, more fortunate",أكثر حظاً وأوفر حظاً
أوفى على االنتهاء,To draw to a close,في الختام
ًأوقاتاً أوقاتا,From time to time,من وقت لآخر
أوقد فيه النار,To set something on fire,إشعال النار في شيء ما
أوقع الرعب في قلبه,"To strike terror in someone’s heart, frighten",لإثارة الرعب في قلب شخص ما، وتخويفه
أوقع عقوبة ً على,To inflict a punishment on,لإيقاع عقوبة على
أوقعه في كمين,To let someone walk into an ambush,السماح لشخص ما بالدخول في كمين
أوقف اهتمامه على,To concentrate on,للتركيز على
أوقف تنفيذ الحكم,"To grant a reprieve, arrest a judgement (law)",منح تأجيل، توقيف تنفيذ الحكم (القانون)
أوقف حركة المرور,To obstruct traffic,لعرقلة حركة المرور
أوقفه عن العمل,"To relieve someone of his post, remove someone from office",لإعفاء شخص ما من منصبه، عزل شخص ما من منصبه
األول من نوعه,The first of its kind,الأول من نوعه
أواله ثقته,To have confidence in someone,أن يكون لديك ثقة في شخص ما
ًأواله معروفا,To do someone a favour,أن تسدي معروفاً لشخص ما
أولو األبصار,People of deep sight,أصحاب البصر الثاقب
أولو الشأن,"The influential people, the competent people, those concerned with the matter",الأشخاص المؤثرون، الأشخاص المختصون، المعنيون بالأمر
آونة – أخرى,"Sometimes, at times",في بعض الأحيان، في بعض الأحيان
أي بأس؟,What does it matter? What of it?,ما أهمية ذلك؟ ما الأمر؟
أي حرج في؟,Why should one feel restrained in...?,لماذا يجب أن يشعر المرء بأنه مقيد في...؟
أي شأن لك في هذا؟,What business of yours is this? What’s that to you?,ما هو عملك هذا؟ ما هو هذا بالنسبة لك؟
أي من كان,Whoever it may be,أياً كان من يكون
أي واحد,Anyone,أي شخص
(أيّا ً كان )أيَّة ً كانت,"Whoever he (or she) is, no matter who he (or she) is",كائنًا من كان (أو كانت)، بغض النظر عن هويته (أو هويتها)
. . . إياك أن,Take care not to...,احرص على عدم...
األيام الشحائح,"The rainless days, the dry season",الأيام الخالية من الأمطار، موسم الجفاف
أياما ً موصولة,"For several consecutive days, for some time",لعدة أيام متتالية، لبعض الوقت
ائتمر بأمره,To carry out someone’s orders,تنفيذ أوامر شخص ما
إيجابا ً لِـ,"In conformity with, in accordance with, according to",بما يتوافق، وفقًا ل، وفقًا ل، وفقًا ل، وفقًا ل
األيدي العاملة,"Manpower, workmen, hands",القوى العاملة والعمال والأيدي العاملة
إيذانا ً بانتهاء الحديث,As a sign that the conversation is (was) ended,كإشارة إلى أن المحادثة (كانت) قد انتهت
!(أيمن هللا )أيم هللا,I swear by God!,أقسم بالله!
أين الث َّ رَى من الث ُّ رَيَّا؟,What has the ground to do with the Pleiades? (proverbially of things of disproportionate value),ما علاقة الأرض بالثريا؟ (على سبيل المثل من الأشياء غير المتناسبة القيمة)
أين نحن من,Worlds separate us from (fig.),عوالم تفصلنا عن (الشكل)
!أين هذا من ذاك,What is this compared with that!,ما هذا مقارنة بذاك!
!أين هو مني,What a difference there is between us!,يا له من فرق بيننا!
باء بالخيبة,To fail,أن تفشل
باء بالفشل,To fail,أن تفشل
باب الصدر,Front door,الباب الأمامي
الباب مفتوح على مصراعيه,The door is wide open,الباب مفتوح على مصراعيه
بأبي أنت وأمي,You are as dear to me as my own father and mother,أنت عزيز عليَّ مثل أبي وأمي
بات في حكم المؤكد,It is now as good as certain,إنه الآن جيد كما هو مؤكد
بات من المقرّر,"It has become a sure thing, is now certain",لقد أصبح أمرًا مؤكدًا، أصبح الآن مؤكدًا
باتحاد,"In unison, with combined efforts",في انسجام، وبجهود مشتركة
باتفاق اآلراء,Unanimously,بالإجماع
بأجمعه,"In its entirety, to its full extent",في مجملها وبكاملها وبكاملها
باختصار,"In a few words, briefly, in short",بكلمات قليلة، بإيجاز، وباختصار، باختصار
بادأه بالكالم,"To accost someone, speak first to someone",لمعاكسة شخص ما، تحدث أولاً إلى شخص ما
بادر إلى,"To do something promptly, hasten to do something",أن تفعل شيئًا ما على الفور، سارع إلى فعل شيء ما على وجه السرعة
بادر إلى إنجاز الوعد,To set out to fulfil a promise,الانطلاق للوفاء بالوعد
بادرة خير,A good or generous impulse,دافع الخير أو الكرم
بادره بِـ,"To fall upon someone with, assail, surprise someone with something",أن تسقط على شخص ما، وتهاجمه، وتفاجئه بشيء ما
بادره بكالم غليظ,To snap rudely at someone,أن تنفجر بوقاحة في وجه شخص ما
بادى بالعداوة,To show open hostility,إظهار العداء الصريح
البادئ ذكرُه,"The person or thing mentioned at the outset, the first mentioned",الشخص أو الشيء المذكور في البداية، الشخص أو الشيء المذكور أولاً
بادئ ذي بدء,Right from the outset,منذ البداية
بإذن هللا,God willing,إن شاء الله
بإذنك,With your permission,بعد إذنك
بارت البنت,The girl could not get a husband (remained a spinster),لم تستطع الفتاة الحصول على زوج (ظلت عانسًا)
بارك هللا فيك,God bless you!,بارك الله فيك!
