Idiom,Meaning
(بقدر )على قدر,"Commensurate with, in proportion to"
بقدر اإلمكان,"As much as possible, in the best way possible, to the best of one’s abilities"
( بقدر اإلمكان )على قدر اإلمكان,"As much as possible, as far as possible"
بقدر المستطاع,"As far as possible, as much as possible, in the best way possible, to the best of one’s abilities"
بقدر ما,"In the same measure, to the same extent as, as much as"
بقطع النظر عن,"Irrespective of, regardless of, without regard to"
بقلمه,Written by him
بقوة وجالء,(to speak) loud and clear
. . . بَقِيَ مكتوفَ األيدي أمام,To stand helpless before...
بِقِيام,Undertaking of
بقيت دار لقمان على حالها,Everything has remained as before
( بقيد الحياة )على قيد الحياة,"(still) alive, living"
بكامل االحتراز,With all reservation
بكامله,"Altogether, in its entirety"
بكثرة,"Plentifully, abundantly, a lot"
بكثير,"Far, by far"
بك ّ ر عن الموعد,To come earlier than the appointed time
( بك ّ ر في )بِـ,"To do something early, prematurely, ahead of its time"
بكل أسف,Unfortunately
بكل جوارحه,"With might and main, with all his strength"
بكل ما تتسع له الكلمة ُ من معنى,In the widest sense of the word
بكل معنى الكلمة,In the full sense of the word
بكلمة أخرى,In other words
بكليته,"In its entire being, completely, totally, entirely, wholly"
بِكم,How much? How much (is it)?
بكماله,"In its full scope, completely, entirely, wholly, totally"
بُك ُ ورِي في العَود,My early return
بلّ يَبِلُّ من مرض,To recover from an illness
بال,Without
بال تكليف,"Informa(lly), without (standing on) ceremony"
بال جدال,"Incontestably, indisputably"
بال جدوى,"Of no avail, useless, futile, in vain"
بال حد,"Boundless, unlimited, without limits"
بال حرج,"Unhesitatingly, without restraint or fear"
بال حساب,Without limit or bounds
بال حيطة,"Thoughtlessly, inadvertently"
بال داع,Unnecessary
بال شرط أو قيد,"With no strings attached, unconditional (obedience, surrender...)"
بال شك,"Without doubt, doubtless, undoubtedly, certainly, positively"
بال فاصل,Without interruption
بال قيد وال شرط,"Without any reservation, with no strings attached, unconditional"
بال نزاع,"Indisputably, incontrovertibly, undeniably"
بال نهاية,Unendingly
بالغ أخير,Ultimatum
بالغ كاذب,"Slander, defamation"
بل ُ بٍّ شارد,"Mentally confused, absent-minded"
بلحمه وشحمه,In his real form
بلصقه,Close to him (or it)
بلطف,Gently
بلع ريقَه,"To catch one’s breath, have a break, take a little rest"
بل ّ عه (أبلعه) ريقه,To grant someone a short rest
ُ بلغ أشُدَّه,"To attain full maturity, come of age"
بلغ أعلى درجة من,To reach the highest level of
بلغ أقصى حدودَه,To attain its highest degree
بلغ األمرُ مبلغَ الجد,The matter became serious
بلغ السيلُ الز ُّ بَى,"The matter reached a climax, things came to a head"
بلغ الشأو البعيد,"To carry off the prize, hit the bull’s-eye"
َبلغ أوْجَه,"To reach its peak, attain its climax"
. . . بلغ به الترنح أن,He began to reel so violently that...
. . . بلغ به الجحودُ أن,His ingratitude went so far that he...
بلغ به إلى,"To cause someone to arrive at, lead someone to, to get someone or something to the point where"
. . . بلغ حدّ ً ا أن,"It reached such a pass, it went so far that..."
ًبلّغ رسالة,To fulfil a mission
بلغ سدرة المنتهى,"To attain the highest goal, achieve ultimate results"
بلغ شأوا ً بعيدا ً في الرُّقِي,To undergo tremendous progress
بلغ شأوَهُ في,"To get as far in something as someone else, match someone in something"
ًبلغ في الشيء مبلغا,To attain a high degree of something
بلغ مبلغ الرجال,"To be sexually mature, attain manhood, come of age"
ًبلغ من العمر عُتِيا,"To attain great age, to be far advanced in years"
بلغ منتهاه,"To reach its climax, come to a head, to reach its highest degree"
بلغ منه كلّ مبلغ,To work havoc on someone
بَل ّ غ ْ هُ سَلاَ مِي,Give him my best regards!
بلهجة العاتب,"In a reproachful tone, reproachingly"
بم,With what? Wherewith?
ّبما أن,"In view of the fact that, inasmuch as"
بما فيه,"Including, inclusive"
بمثابة,"Like, as, tantamount to, having the same function as"
بمثل ما,In the same manner as
بمجامع عينيه,"(To look at someone) with complete concentration, intently"
بمجرّد ما,"As soon as, at the very moment when"
بمحض اختياره,Entirely of his own accord
بمَحْضَرٍ منه,In someone’s presence
بمزيد االرتياح,With extreme satisfaction
بمزيد األسف,With greatest regret
بمعرفة,"By, through (after the passive)"
بمعروف,"With appropriate courtesy, amicably"
بمَعْزِل عن,"Separated, secluded, isolated from"
(بمعية فالن )في معية فالن,In the company of so-and-so
بمعية هذا,"Herein enclosed, herewith"
بمفرده,"By oneself, alone, apart, singly"
بمقتضى,"According to, in accordance to, in conformity with"
بمقدار ما,"To the same extent or degree as, as much as"
بمكان كذا وكذا,At such and such a place
بملء الفم,In a loud voice
بملء حوانيهم,"(They shouted) at the top of their lungs, with all their might"
بملء فيه,"With a ring of deep conviction (‘say’, ‘declare’, ‘exclaim’), loudly at the top of one’s voice (‘shout’, ‘cry’ etc.)"
بِمنتهى الشدة,With extreme force
بِمَنِّه تعالى,By the grace of God
بمواجهته,In his presence
( بموجب )على موجب,"According to, on the basis of, by virtue of"
بناء على ذلك,"Accordingly, thus"
بنات الصدر,"Worries, anxieties, apprehensions"
بنت الكَرْم,Wine
بنصه,Verbatim
بنصّه وفصّه,"In the very words, ipsissima verba, literally, precisely"
بنفسه,"He himself, personally, in person"
بنو ماء السماء,The Arabs
بنوع خاص,"In particular, especially"
بنى العزمَ على,To determine or be firmly determined to do something
بنى بها,To consummate a marriage
بنى عزمَه على,To determine or be firmly determined to do something
بُنِي على,"To be based, be built, rest on"
بَهْجَة األنظار,"Delight of the eyes, welcome sight"
بهذا,"Hereby, herewith"
بهذا االعتبار,"From this standpoint, from this viewpoint"
بهذا الخصوص,"In this connection, in this matter, in this respect, concerning this"
بهذا المقدار,To a certain extent or degree
بهذه المناسبة,"In this connection, in this occasion"
بهذه الواسطة,By this means
بِهِمَّة ال تَنِي,With unflagging zeal
بهودء,"Calmly, quietly"
ًبوّأ مكانا,"To take a place, settle down, live or stay at a place"
بواسطة,"Means of, through"
بواسطة ذلك,By means of that
بواطن األرض,The secret depths of the earth
بواطن األمر,"The factors, circumstances or reasons at the bottom of something"
بواكير,"First signs, heralds, harbingers (fig.)"
ًبوّأه مكانا,To make someone take a position or place
بوجه (على وجه) خاص,"Especially, in particular"
بوجه (على وجه) التقريب,"Approximately, roughly, nearly"
بوجه اإلجمال,"On the whole, by and large, in general"
بوجه التقريب، بالتقريب، على التقريب,"Approximately, roughly about"
بوجه العموم,"In general, generally"
بوجه ما,"Some way or other, somehow, to a certain extent"
بوجيز العبارة,"Briefly stated, in a few words, in a nutshell!"
بوساطة,"By means of, through"
بوضوح,"Clearly, plainly"
بوقته,"At once, right away, immediately"
بُويِعَ له بالخالفة,He was acknowledged with homage as caliph
بياضَ يومه وسوادَ ليله,By day and by night
بيت القصيدة,"The main point, the essence, the core, the gist, the climax of something"
بيّت في الصف,To fail (pupil)
بَيْدَ أ َ ن,"Although, whereas, yet, however, but, though"
بيّض هللا وجهَه,May God make him happy!
بيّض وجهَه,"To whitewash, exculpate, justify oneself"
بَيَّضَ وجهَه,"To make someone appear blameless, to whitewash, vindicate"
بيضة اإلسالم,The pale of Islam
بيضة البلد,A man held in high esteem in his community
ِ بيضة الخِدْر,A chaste respectable woman
بين أحضان,"Amid, among, in the presence of someone"
بين أحنائها,In her bosom
بين أظهرهم,"In their midst, among them"
بين اآلونة واألخرى,From time to time
بين الفينة والفينة,"From time to time, now and then, once in a while, sometimes"
