Idiom,Meaning
구복이 원수,"「1」입으로 먹고 배를 채우는 일이 원수 같다는 뜻으로, 먹고살기 위하여 괴로운 일이나 아니꼬운 일도 참아야 한다는 말. 「2」먹고살기 위하여 어쩔 수 없이 잘못을 저질렀음을 이르는 말. "
구부러진 송곳,있기는 있으되 쓸모없게 된 것을 비유적으로 이르는 말. 
구새먹다,「1」살아 있는 나무의 속이 오래되어 저절로 썩어 구멍이 뚫리다. 「2」속이 쓰지 못하게 되었거나 내용이 비게 되다. 
구색맞추다,여러 가지가 고루 갖추어지게 하다. 
구색이 맞다,여러 가지가 고루 갖추어지다. 
구석에 몰리다,어렵거나 곤란한 처지가 되다. 
구석이 비다,「1」일을 처리하는 데에 빈틈이나 부족한 점이 있다. 「2」말의 앞뒤가 맞지 않거나 논리적으로 모순이 있다. 
구슬려 넘기다,그럴듯한 말로 은근히 달래거나 추어올리며 이것저것 갖다가 말하다. 
구슬려 삶다,그럴듯한 말로 남을 자꾸 꾀어 잘 따르게 만들다. 
구슬려 세우다,그럴듯한 말로 남을 치켜세우다. 
구슬 없는 용,쓸모없고 보람 없게 된 처지를 비유적으로 이르는 말. 
구슬이 서 말이라도 꿰어야 보배,아무리 훌륭하고 좋은 것이라도 다듬고 정리하여 쓸모 있게 만들어 놓아야 값어치가 있음을 비유적으로 이르는 말. 
구시월세단풍[고운 단풍],「1」구시월의 곱디고운 단풍을 이르는 말. 「2」당장 보기에는 좋아도 얼마 가지 않아 흉하게 될 것을 비유적으로 이르는 말. 
구운 게도 다리를 떼고[매 놓고] 먹는다,"「1」구운 게라도 혹시 물지 모르므로 다리를 떼고 먹는다는 뜻으로, 틀림없을 듯하더라도 만일의 경우를 생각하여 세심한 주의를 기울여야 낭패가 없음을 이르는 말. 「2」겁이 지나치게 많은 사람을 놀림조로 이르는 말. "
구운 게도 매어 먹어라,"「1」구운 게라도 혹시 물지 모르므로 다리를 떼고 먹는다는 뜻으로, 틀림없을 듯하더라도 만일의 경우를 생각하여 세심한 주의를 기울여야 낭패가 없음을 이르는 말. 「2」겁이 지나치게 많은 사람을 놀림조로 이르는 말. "
구원이 우환이라,"남을 구원하여 준 것이 오히려 큰 우환거리가 되었다는 뜻으로, 남이 잘되도록 해 준다는 것이 그만 좋지 않은 결과를 낳은 경우에 이르는 말. "
구유 전 뜯다,"「1」구유의 가장자리 전을 뜯는다는 뜻으로, 세도 있는 사람의 도움을 받음을 자랑으로 삼는다는 말. 「2」남에게 돌보아 주기를 청하는 것을 비유적으로 이르는 말. "
구정물이 튀다,화가 미치다. 
구제할 것은 없어도 도둑 줄 것은 있다,「1」아무리 가난한 집이라도 도둑맞을 물건은 있다는 말. 「2」남을 구제할 생각만 있다면 얼마간이라도 도와줄 것은 있다는 말. 「3」도둑맞을 것이 없다고 방심하지 말라는 말. 
구종들다,구종이 되어 말고삐를 잡다. 
구중들다,구종이 되어 말고삐를 잡다. 
구천에 사무치다,원한 따위가 저승에까지 미치다. 
국물도 없다,돌아오는 몫이나 이득이 아무것도 없다. 
국사당에 가 말하듯,"국사당에 가서 무엇을 빌 때 말하는 것처럼 한다는 뜻으로, 옆에서 잘 알아듣지도 못하는 소리를 중얼중얼하며 길게 외운다는 말. "
국사에도 사정이 있다,"나라의 일에도 사정을 봐주는 경우가 있다는 뜻으로, 어째서 남의 사정을 좀 봐주지 않느냐는 말. "
국상에 죽산마 지키듯,무엇인지도 모르고 남이 시키는 대로 멀거니 서서 지켜보고 있음을 비유적으로 이르는 말. 
국수먹다,"결혼식 피로연에서 흔히 국수를 대접하는 데서, 결혼식을 올리는 일을 비유적으로 이르는 말. "
국수먹이다,"결혼식 피로연에서 흔히 국수를 대접하는 데서, 결혼식을 올리는 일을 비유적으로 이르는 말. "
국수를 못하는 년이 피나무 안반만 나무란다,자기 기술이나 능력이 부족한 것은 생각하지 않고 애매한 도구나 조건만 가지고 나쁘다고 탓함을 비꼬는 말. 
국수 먹은 배,"「1」국수를 먹으면 그때는 배가 잔뜩 부르지만 얼마 안 가서 쉽게 꺼지고 만다는 뜻으로, 먹은 음식이 쉽게 꺼지는 경우를 비유적으로 이르는 말. 「2」실속 없고 헤픈 경우를 비유적으로 이르는 말. "
국수 잘하는 솜씨가 수제비 못하랴,어떤 한 가지 일에 능숙한 사람은 그와 비슷한 다른 일도 잘한다는 말. 
국에 덴 놈 물[냉수] 보고도 분다[놀란다],어떤 일에 한 번 혼이 나면 그와 비슷한 것만 보아도 공연히 겁을 낸다는 말. 
국에 덴 놈이 냉수를 불고 먹는다,어떤 일에 한 번 혼이 나면 그와 비슷한 것만 보아도 공연히 겁을 낸다는 말. 
국이 끓는지 장이 끓는지 ,일이 어떻게 돌아가는지 도무지 영문을 모르겠다는 말. 
국화는 서리를 맞아도 꺾이지 않는다,절개나 의지가 매우 강한 사람은 어떤 시련에도 굴하지 아니하고 꿋꿋이 이겨 냄을 비유적으로 이르는 말. 
군눈뜨다,외도에 눈을 뜨다. 
군말이 많으면 쓸 말이 적다,"하지 않아도 될 말을 이것저것 많이 늘어놓으면 그만큼 쓸 말은 적어진다는 뜻으로, 말을 삼가라는 말. "
군물돌다,물기가 음식과 한데 섞이지 않고 위에 따로 돌다. 
군밤 둥우리 같다,옷 입은 맵시가 깔끔하지 못하고 엉성함을 비유적으로 이르는 말. 
군밤에서 싹 나거든,「1」아무리 바라도 소용이 없다는 말. 「2」도저히 가망이 없는 조건을 이르는 말. 
군복벗다,군에서 제대하다. 
군복을 입다,군에 입대하다. 
군불때다,"「1」(속되게) 담배를 피우다. 「2」은어로, ‘성교하다’를 이르는 말. "
군불에 밥 짓기[익히기],어떤 일에 곁따라 다른 일이 쉽게 이루어지거나 또는 다른 일을 해냄을 비유적으로 이르는 말. 
군불 장댄가[장대처럼] 키만 크다,키가 큰 사람을 놀림조로 이르는 말. 
군살을 빼다,반드시 있지 않아도 될 것을 덜어 내다. 
군입다시다,「1」끼니 외의 군음식을 먹다. 「2」무엇을 먹고 싶어서 입을 다시다. 
군자도 시속을 따른다,어떤 사람이라도 시대적 풍습을 따라가야 한다는 말. 
군자 말년에 배추씨 장사,「1」평생을 두고 남을 위하여 어질게 살아온 사람이 말년(末年)에 가서는 매우 어렵게 사는 경우를 비유적으로 이르는 말. 「2」한때 떵떵거리고 잘살다가 늘그막에 가서는 망하여 볼품없이 된 경우를 비유적으로 이르는 말. 
군작이 어찌 대붕의 뜻을 알랴,평범한 사람이 큰 인물의 뜻을 헤아려 알기가 어려움을 비유적으로 이르는 말. 
군창 가는 배도 둘러 먹는다,「1」곤궁한 처지가 되면 무슨 짓이라도 다 한다는 말. 「2」뻔뻔스럽고 염치가 없어 제 욕심만 채우려 함을 비유적으로 이르는 말. 
군침삼키다[흘리다],"「1」음식 따위를 보고 먹고 싶어서 입맛을 다시다. 「2」이익, 재물을 보고 몹시 탐을 내다. "
군침돋다,「1」식욕이 나다. 「2」이익이나 재물에 욕심이 생기다. 
군침돌다,「1」식욕이 나다. 「2」이익이나 재물에 욕심이 생기다. 
군침을 돋우다,「1」식욕이 나게 하다. 「2」이익이나 재물에 욕심이 생기게 하다. 
군침이 흐르다,「1」식욕이 나다. 「2」이익이나 재물에 욕심이 생기다. 
굳은 땅에 물이 괸다,「1」헤프게 쓰지 않고 아끼는 사람이 재산을 모으게 됨을 비유적으로 이르는 말. 「2」무슨 일이든 마음을 굳게 먹고 해야 좋은 결과를 얻게 됨을 비유적으로 이르는 말. 
굴뚝 막은 덕석 ,검고 더러운 옷이나 물건 따위를 이르는 말. 
굴뚝 보고 절한다,"빚에 쪼들리어 한밤중이나 이른 새벽에 도망가는 사람이 이웃 사람에게 인사는 할 수 없어 하는 수 없이 굴뚝을 보고 절하고서 도망간다는 뜻으로, 무엇을 피하여 몰래 달아남을 비유적으로 이르는 말. "
굴뚝에 바람 들었나,"굴뚝에 바람이 들면 아궁이로 연기가 나와 불을 때는 이의 눈에서 눈물이 난다는 데 빗대어, 왜 우느냐고 되묻는 투로 이르는 말. "
굴뚝에서 빼 놓은 족제비 ,지저분하고 가냘픈 사람을 비유적으로 이르는 말. 
굴뚝 후비다,"은어로, 담배를 피우다. "
굴러온 돌이 박힌 돌 뺀다,외부에서 들어온 지 얼마 안 되는 사람이 오래전부터 있던 사람을 내쫓거나 해치려 함을 비유적으로 이르는 말. 
굴러온 돌한테 발등 다친다,외부에서 들어온 지 얼마 안 되는 사람이 오래전부터 있던 사람을 내쫓거나 해치려 함을 비유적으로 이르는 말. 
굴러온 호박,뜻밖에 좋은 물건을 얻거나 행운을 만났다는 말. 
굴레벗다,구속이나 통제에서 벗어나 자유롭게 되다. 
굴레쓰다,일이나 구속에 얽매여 벗어나지 못하게 되다. 
굴레씌우다,자유롭게 활동하지 못하도록 구속하다. 
굴레 벗은 말[망아지/송아지],「1」거칠게 행동하는 사람을 이르는 말. 「2」구속이나 통제에서 벗어나 몸이 자유로움을 이르는 말. 
굴레 쓴 말,일이나 구속에 얽매여 벗어나지 못하는 사람을 비유적으로 이르는 말. 
굴에 든 뱀 길이를 알 수 없다,남의 숨은 재주나 가지고 있는 보물은 얼마나 되는지 알 수가 없음을 비유적으로 이르는 말. 
굴에 들어가야 범을 잡는다,직접 당하여 보아야 그 실상을 알 수 있다는 말. 
굴우물에 돌 넣기,"「1」깊은 우물에 돌을 아무리 넣어도 차지 아니한다는 뜻으로, 제힘으로는 도저히 해낼 수 없는 일을 감히 하려고 함을 비유적으로 이르는 말. 「2」아무리 하여도 한(限)이 없다는 뜻으로 이르는 말. "
굴우물에 말똥 쓸어 넣듯 한다,「1」음식을 가리지 아니하고 마구 먹음을 조롱하여 이르는 말. 「2」가망 없는 일에 밑천을 한정 없이 많이 밀어 넣는 일을 비유적으로 이르는 말. 
굵은베가 옷 없는 것보다 낫다,아주 없는 것보다는 하찮은 것이라도 있는 것이 낫다는 말. 
굶기를 밥 먹듯 한다,자주 굶는다는 말. 
굶어 보아야 세상을 안다,굶주릴 정도로 고생을 겪어 보아야 세상을 알게 된다는 말. 
굶어 죽기는 정승 하기보다 어렵다,"가난하여 곧 굶어 죽을 것 같으나 잘 견디어 낸다는 뜻으로, 가난 속에서도 갖은 고생을 하며 그럭저럭 살아감을 비유적으로 이르는 말. "
굶어 죽어도 종자는 베고 죽는다,"죽으면서도 농사지을 종자는 먹지 않고 남겼다는 뜻으로, 답답할 정도로 어리석고 인색하기만 한 사람을 비유적으로 이르는 말. "
굶으면 아낄 것 없어 통 비단도 한 끼라,호화롭게 살다가도 구차하게 되면 아무리 귀중한 것도 밥 한 끼와 바꾸게 됨을 비유적으로 이르는 말. 
굶은 개 부엌 들여다보듯,게걸스럽고 치사스럽게 남의 것을 바라는 모양을 욕으로 이르는 말. 
굼벵이구르는 재주(가) 있다,「1」아무런 능력이 없는 사람이 남의 관심을 끌 만한 행동을 함을 놀림조로 이르는 말. 「2」무능한 사람도 한 가지 재주는 있음을 비유적으로 이르는 말. 
굼벵이꾸부리는[떨어지는] 재주(가) 있다,무능한 사람도 한 가지 재주는 있음을 비유적으로 이르는 말. 
굼벵이가 지붕에서 떨어지는 것은 매미 될 셈이 있어 떨어진다,"굼벵이가 떨어지면 남들은 잘못하여 떨어졌으려니 하고 웃을 것이나 제 딴에는 매미가 될 뚜렷한 목적이 있어 떨어진다는 뜻으로, 남 보기에는 못나고 어리석은 행동도 그렇게 하는 그 자신에게 있어서는 요긴한 뜻이 있어 하는 것임을 비유적으로 이르는 말. "
굼벵이가 지붕에서 떨어질 때는 생각이 있어 떨어진다,"굼벵이가 떨어지면 남들은 잘못하여 떨어졌으려니 하고 웃을 것이나 제 딴에는 매미가 될 뚜렷한 목적이 있어 떨어진다는 뜻으로, 남 보기에는 못나고 어리석은 행동도 그렇게 하는 그 자신에게 있어서는 요긴한 뜻이 있어 하는 것임을 비유적으로 이르는 말. "
굼벵이도 밟으면[다치면/디디면] 꿈틀한다,"아무리 눌려 지내는 미천한 사람이나, 순하고 좋은 사람이라도 너무 업신여기면 가만있지 아니한다는 말. "
굼벵이도 제 일을 하려면[하라면] 한 길은 판다,미련한 사람이라도 제 일이 급하게 되면 무슨 수를 내서든지 해냄을 비유적으로 이르는 말. 
굼벵이도 제 일 하는 날은 열 번 재주넘는다,미련한 사람이라도 제 일이 급하게 되면 무슨 수를 내서든지 해냄을 비유적으로 이르는 말. 
굼벵이 천장듯,"굼벵이는 느리므로 무덤을 옮기자면 오래 걸린다는 뜻으로, 어리석은 사람이 일을 지체하며 좀처럼 성사시키지 못함을 비유적으로 이르는 말. "
굽도 젖도 할 수 없다,"한쪽으로 굽히지도 뒤로 젖히지도 못한다는 뜻으로, 형편이 막다른 데 이르러 어찌해 볼 도리가 없다. "
굽은 나무가 선산을 지킨다,"자손이 빈한해지면 선산의 나무까지 팔아 버리나 줄기가 굽어 쓸모없는 것은 그대로 남게 된다는 뜻으로, 쓸모없어 보이는 것이 도리어 제구실을 하게 됨을 비유적으로 이르는 말. "
굽은 나무는 길맛가지가 된다,세상의 모든 것은 다 쓸데가 있고 버릴 것이 없음을 비유적으로 이르는 말. 
굽은 지팡이는 그림자도 굽어 비친다,제 본디의 모습이 좋지 아니한 것은 아무리 하여도 숨기지 못함을 비유적으로 이르는 말. 
굽통 쑤시다,화살이 과녁을 버티고 있는 두 나무 기둥 사이의 바닥에 맞다. 
굿보다,남의 일에 참견하지 아니하고 보기만 하다. 
